bname,btype,ra,dec,catalogue,nt,nb,z,fieldsize,countingmag,bgb,bgb_err
113118.63+580858.8,bllac,172.827651978,58.1496810913,plotkin,14,9,0.36,72.9697525046,-19.2189558861,111.772074889,100.495465333
BZQJ0309-0559,fsrq,47.34704,-5.989,bzcat,0,0,0.745,38.8337076431,-21.1299085663,0.0,0.0
BZQJ1043+2408,fsrq,160.78767,24.14317,bzcat,2,2,0.559,49.3690974545,-20.3639303463,0.0,0.0
BZUJ1132+0515,uncertain,173.23321,5.261,bzcat,121,141,0.101,244.955770457,-19.1837,-401.204253134,-322.395765374
091151.34+294929.4,bllac,137.963912964,29.8248405457,plotkin,13,2,0.446,60.1543933351,-19.7714804109,280.065278649,96.5486105108
BZUJ0407-1211,uncertain,61.95179,-12.19353,bzcat,0,0,0.573,48.3331759746,-20.4293926519,0.0,0.0
094022.44+614826.1,bllac,145.093536377,61.80727005,plotkin,37,19,0.211,120.182174685,-19.1837,279.544161907,109.936048554
BZQJ1430+3649,fsrq,217.66908,36.81775,bzcat,3,3,0.566,48.8446234934,-20.3968506235,0.0,0.0
BZUJ1511+0518,uncertain,227.92196,5.30258,bzcat,220,250,0.084,293.446772486,-19.1837,-590.397350505,-418.632013887
J131827.1+620036.2,fsrq,199.612916667,62.0100555556,chen,13,13,0.307,84.4825129622,-19.1837,0.0,0.0
BZUJ0831+4608,uncertain,127.91583,46.13356,bzcat,85,88,0.131,190.107855851,-19.1837,-62.2038672793,-255.398033138
J131211.1+480925.2,fsrq,198.04625,48.157,chen,0,1,0.715,40.1550822315,-21.0195936782,-79.1373898731,-129.794969934
075437.07+391047.7,bllac,118.654457092,39.17993927,plotkin,194,191,0.096,257.43373439,-19.1837,59.8446546789,360.058431641
J164258.8+394837.2,fsrq,250.745,39.8103333333,chen,1,4,0.593,46.9395728302,-20.5203588943,-153.27673402,-159.61727496
125639.35+060908.0,bllac,194.163970947,6.1522397995,plotkin,26,14,0.423,63.0659829029,-19.6340243563,276.882662895,137.786029805
BZQJ1531+4356,fsrq,232.76033,43.94378,bzcat,7,8,0.452,59.4441571628,-19.806262889,-26.1230621346,-99.5422359061
BZUJ1718+4228,uncertain,259.56333,42.472,bzcat,56,42,0.18,139.885264717,-19.1837,227.242159294,149.63019264
082320.56+112551.6,bllac,125.835670471,11.4309997559,plotkin,8,6,0.44,60.8842458434,-19.7362634899,49.6297421618,86.461221463
BZBJ1431+5118,bllac,217.79333,51.30903,bzcat,17,10,0.458,58.7527576899,-19.8406220339,187.621966327,131.034179505
BZBJ1606+1345,candidate,241.57662,13.7585,bzcat,25,19,0.294,87.9453671337,-19.1837,101.09764468,104.01818265
BZBJ1427+3908,bllac,216.94133,39.14231,bzcat,53,39,0.165,152.08521241,-19.1837,223.694304353,142.832637563
105723.09+230318.7,bllac,164.346252441,23.0552196503,plotkin,16,21,0.378,69.799826186,-19.3439500557,-121.268195141,-154.330156993
123623.01+390000.9,bllac,189.095901489,39.0002784729,plotkin,14,9,0.39,67.8505927058,-19.4242814376,128.03495792,115.117597019
131330.12+020105.9,bllac,198.375518799,2.01832008362,plotkin,21,13,0.356,73.7181201063,-19.1904028867,175.619662525,120.178429064
085036.20+345522.6,bllac,132.650848389,34.922958374,plotkin,82,78,0.145,172.288012203,-19.1837,84.2030584915,245.329480006
BZUJ1518+4045,uncertain,229.66217,40.75003,bzcat,148,140,0.065,377.681494183,-19.1837,154.051925855,301.165605067
BZBJ0912+4235,candidate,138.11346,42.59586,bzcat,74,42,0.266,96.5611321812,-19.1837,524.87279719,166.448747078
101118.50+013755.8,bllac,152.82711792,1.63218998909,plotkin,11,5,0.467,57.7493933219,-19.8913891372,167.143259017,105.894045257
BZQJ1025+1253,fsrq,156.48454,12.89694,bzcat,7,4,0.663,42.735399344,-20.8174980844,193.851267283,201.870239662
BZBJ0301+3441,bllac,45.26571,34.68358,bzcat,15,17,0.246,103.923175051,-19.1837,-32.1682783626,-89.1618565046
110222.94+380122.5,bllac,165.595596313,38.0229187012,plotkin,15,12,0.392,67.5374362551,-19.4374489947,77.5191538815,124.674965591
105606.61+025213.4,bllac,164.027557373,2.87040996552,plotkin,23,19,0.236,108.07449361,-19.1837,63.7020397208,95.6989320768
BZQJ1014+2301,fsrq,153.69612,23.02128,bzcat,2,0,0.566,48.8446234934,-20.3968506235,91.8840543246,64.9718378958
BZBJ1516+2918,bllac,229.17329,29.30264,bzcat,120,98,0.13,191.527811045,-19.1837,455.665651863,283.702509665
BZBJ1435-0055,bllac,218.86204,-0.93306,bzcat,24,24,0.285,90.5290179653,-19.1837,0.0,0.0
BZBJ1415+4830,bllac,213.90333,48.50847,bzcat,3,6,0.496,54.7672071375,-20.0490306706,-94.656633926,-114.374045943
073701.86+284646.0,bllac,114.257781982,28.779460907,plotkin,24,10,0.272,94.5646872323,-19.1837,230.971192372,91.7083796973
BZUJ0126-0501,uncertain,21.56329,-5.02253,bzcat,15,9,0.411,64.7159877686,-19.5595528556,131.509590103,100.943069798
BZBJ0028+2408,candidate,7.14254,24.13558,bzcat,16,17,0.373,70.6493891002,-19.3097863129,-23.7107937517,-129.283632917
121518.03+545913.2,bllac,183.825164795,54.9870185852,plotkin,19,18,0.338,77.3069148862,-19.1837,21.521550164,120.635919843
BZBJ0749+2313,candidate,117.30833,23.22131,bzcat,36,48,0.175,143.718968724,-19.1837,-193.764325142,-155.816719871
BZQJ2346+0930,fsrq,356.6535,9.51264,bzcat,4,0,0.677,42.0008637963,-20.8733498714,272.895158529,136.447579265
BZBJ0942+2844,bllac,145.59708,28.73733,bzcat,9,7,0.366,71.8781471697,-19.2612448109,45.9415274127,85.4253023175
BZBJ0123+4210,candidate,20.91867,42.16839,bzcat,55,43,0.186,135.557607336,-19.1837,195.997898567,150.291683358
BZBJ1502+2528,bllac,225.53692,25.47572,bzcat,33,32,0.178,141.392833728,-19.1837,16.1977506135,120.213066018
BZQJ0010+2047,fsrq,2.61975,20.79714,bzcat,4,7,0.6,46.4741449804,-20.5515185908,-152.11541244,-195.264161174
BZBJ0809+3455,bllac,122.41204,34.92703,bzcat,246,220,0.083,296.918252944,-19.1837,511.097170498,392.069011815
TeV J1221+282,bllac,185.382083333,28.2330555556,tevcat,133,116,0.102,242.607116811,-19.1837,341.404632941,293.123788863
111224.60+175121.8,bllac,168.102523804,17.8560600281,plotkin,6,5,0.421,63.3343793693,-19.6217484873,22.8768923948,70.3255170143
BZUJ0834+5534,uncertain,128.72875,55.57253,bzcat,43,37,0.24,106.372268805,-19.1837,95.9335572125,132.360885491
BZUJ0936+0509,uncertain,144.188,5.1575,bzcat,69,73,0.131,190.107855851,-19.1837,-82.9384897057,-234.007461676
BZQJ0059+0006,fsrq,14.77296,0.11433,bzcat,2,0,0.719,39.9723819481,-21.0345549052,160.780738534,113.689150501
BZBJ0013-1854,candidate,3.48354,-18.90189,bzcat,8,38,0.094,262.796931106,-19.1837,-597.10359752,-193.19682415
BZQJ0112+2020,fsrq,18.04246,20.33939,bzcat,3,1,0.746,38.7915340703,-21.1335121004,178.851520767,171.781276129
J150324.7+475830.4,fsrq,225.852916667,47.9751111111,chen,12,23,0.345,75.8664007493,-19.1837,-238.261364585,-152.960968137
BZBJ0216+2314,candidate,34.13375,23.24639,bzcat,25,14,0.288,89.6497502701,-19.1837,184.289172135,98.6328115898
BZBJ1119+0900,bllac,169.78725,9.00636,bzcat,53,27,0.33,79.0286607153,-19.1837,555.447993136,180.807953081
BZQJ0019+2602,fsrq,4.91575,26.04786,bzcat,11,13,0.284,90.8262574806,-19.1837,-33.3791756028,-81.7108310648
115404.55-001009.8,bllac,178.518997192,-0.169410005212,plotkin,45,37,0.254,100.838532039,-19.1837,129.69002916,136.145578873
BZQJ0121+0422,fsrq,20.48692,4.37353,bzcat,0,1,0.637,44.1870088736,-20.7107460964,-58.4434830701,-95.854439224
J085040.0+543753.2,fsrq,132.666666667,54.6314444444,chen,11,5,0.367,71.6997108,-19.2682312622,138.450514339,87.7156824479
BZQJ1439+5827,fsrq,219.9285,58.46647,bzcat,12,6,0.425,62.8001412569,-19.6462469244,139.631410334,93.4939781687
BZBJ1401+1350,bllac,210.40179,13.83514,bzcat,66,36,0.212,119.642821962,-19.1837,466.380199191,148.169021089
105837.73+562811.1,bllac,164.657226562,56.4697685242,plotkin,72,72,0.143,174.619720237,-19.1837,0.0,0.0
005620.07-093629.7,bllac,14.0836601257,-9.60826015472,plotkin,130,134,0.103,240.304092247,-19.1837,-80.4201724912,-305.212831369
BZUJ1531+0852,uncertain,232.90446,8.87842,bzcat,73,62,0.159,157.611325703,-19.1837,174.647071715,170.838360811
BZQJ1357+1919,fsrq,209.2685,19.31872,bzcat,2,3,0.72,39.9270291266,-21.0382829752,-80.706940289,-198.840674862
J120822.5+524013.5,fsrq,182.09375,52.6704166667,chen,10,6,0.432,61.8893033018,-19.6886128254,95.9184537195,90.1709992396
BZBJ1215+0732,bllac,183.79575,7.53464,bzcat,90,82,0.136,183.321764642,-19.1837,166.779422867,252.400283474
123131.39+641418.2,bllac,187.880813599,64.2384109497,plotkin,41,27,0.163,153.881947269,-19.1837,223.222046489,123.123642269
120106.18-000701.6,bllac,180.275787354,-0.11711999774,plotkin,53,85,0.165,152.08521241,-19.1837,-511.301267093,-211.763432424
140350.28+243304.8,bllac,210.959503174,24.5513305664,plotkin,15,21,0.343,76.2719283916,-19.1837,-129.723086782,-139.263639651
BZBJ1733+4519,candidate,263.37012,45.33083,bzcat,28,14,0.317,82.013322898,-19.1837,295.495634968,129.527860507
BZQJ0058+0620,fsrq,14.64088,6.33503,bzcat,7,2,0.592,47.0069763165,-20.5158794326,254.45571616,147.320850155
123831.24+540651.8,bllac,189.630172729,54.1144104004,plotkin,26,36,0.224,113.547559721,-19.1837,-157.355444641,-132.44057291
