bname,ra,dec,btype,z,catalog
J145859.4+041614.1,14 58 59.4,+04 16 14.1,fsrq,0.392,chen
J150031.8+483646.8,15 00 31.8,+48 36 46.8,fsrq,1.028,chen
J150324.7+475830.4,15 03 24.7,+47 58 30.4,fsrq,0.345,chen
J150759.7+041512.1,15 07 59.7,+04 15 12.1,fsrq,1.701,chen
J152544.7+354446.7,15 25 44.7,+35 44 46.7,fsrq,1.101,chen
J153107.4+584410.0,15 31 07.4,+58 44 10.0,fsrq,1.724,chen
J153232.3+513001.5,15 32 32.3,+51 30 01.5,fsrq,1.876,chen
J153404.8+482340.7,15 34 04.8,+48 23 40.7,fsrq,0.543,chen
J153432.6+492049.2,15 34 32.6,+49 20 49.2,fsrq,1.294,chen
J153457.2+583923.5,15 34 57.2,+58 39 23.5,fsrq,1.901,chen
J154502.8+513500.9,15 45 02.8,+51 35 00.9,fsrq,1.93,chen
J154917.4+503805.9,15 49 17.4,+50 38 05.9,fsrq,2.175,chen
J154929.4+023701.1,15 49 29.4,+02 37 01.1,fsrq,0.414,chen
J160226.9+274141.6,16 02 26.9,+27 41 41.6,fsrq,0.938,chen
J160623.6+540555.7,16 06 23.6,+54 05 55.7,fsrq,0.876,chen
J160658.3+271705.9,16 06 58.3,+27 17 05.9,fsrq,0.934,chen
J160822.1+401217.9,16 08 22.1,+40 12 17.9,fsrq,0.628,chen
J160913.2+535429.7,16 09 13.2,+53 54 29.7,fsrq,0.992,chen
J161447.0+374607.3,16 14 47.0,+37 46 07.3,fsrq,1.532,chen
J162229.3+400643.5,16 22 29.3,+40 06 43.5,fsrq,0.688,chen
J162307.6+390932.5,16 23 07.6,+39 09 32.5,fsrq,1.975,chen
J162330.6+355933.1,16 23 30.6,+35 59 33.1,fsrq,0.866,chen
J162422.0+392441.0,16 24 22.0,+39 24 41.0,fsrq,1.116,chen
J162553.3+434713.8,16 25 53.3,+43 47 13.8,fsrq,1.048,chen
J162901.3+400759.6,16 29 01.3,+40 07 59.6,fsrq,0.272,chen
J163302.1+392427.6,16 33 02.1,+39 24 27.6,fsrq,1.024,chen
J163515.5+380804.6,16 35 15.5,+38 08 04.6,fsrq,1.814,chen
J163709.3+414030.6,16 37 09.3,+41 40 30.6,fsrq,0.76,chen
J163755.2+250930.5,16 37 55.2,+25 09 30.5,fsrq,1.107,chen
J164258.8+394837.2,16 42 58.8,+39 48 37.2,fsrq,0.593,chen
J164829.2+410405.9,16 48 29.2,+41 04 05.9,fsrq,0.852,chen
J165005.5+414032.6,16 50 05.5,+41 40 32.6,fsrq,0.585,chen
J165201.5+623209.3,16 52 01.5,+62 32 09.3,fsrq,1.633,chen
J165329.9+310756.9,16 53 29.9,+31 07 56.9,fsrq,1.298,chen
J165931.9+373529.0,16 59 31.9,+37 35 29.0,fsrq,0.771,chen
J170232.6+315752.2,17 02 32.6,+31 57 52.2,fsrq,1.951,chen
J170425.1+333146.1,17 04 25.1,+33 31 46.1,fsrq,0.29,chen
J170648.1+321422.7,17 06 48.1,+32 14 22.7,fsrq,1.07,chen
J171715.2+262149.1,17 17 15.2,+26 21 49.1,fsrq,1.934,chen
J172732.4+584634.1,17 27 32.4,+58 46 34.1,fsrq,0.844,chen
J213638.6+004154.5,21 36 38.6,+00 41 54.5,fsrq,1.941,chen
J021225.6+010056.1,02 12 25.6,+01 00 56.1,fsrq,0.513,chen
J074218.2+194719.7,07 42 18.2,+19 47 19.7,fsrq,0.657,chen
J074242.2+374402.1,07 42 42.2,+37 44 02.1,fsrq,0.806,chen
J074559.3+331334.5,07 45 59.3,+33 13 34.5,fsrq,0.61,chen
J075448.8+303355.1,07 54 48.8,+30 33 55.1,fsrq,0.795,chen
J080131.9+473616.1,08 01 31.9,+47 36 16.1,fsrq,0.157,chen
J080644.4+484149.1,08 06 44.4,+48 41 49.1,fsrq,0.37,chen
J080856.6+405244.9,08 08 56.6,+40 52 44.9,fsrq,1.418,chen
J081059.0+413402.6,08 10 59.0,+41 34 02.6,fsrq,0.507,chen
J081409.2+323731.9,08 14 09.2,+32 37 31.9,fsrq,0.844,chen
J081916.5+264203.2,08 19 16.5,+26 42 03.2,fsrq,0.526,chen
J083353.9+422401.8,08 33 53.9,+42 24 01.8,fsrq,0.249,chen
J084203.7+401831.4,08 42 03.7,+40 18 31.4,fsrq,0.152,chen
J084650.0+064148.9,08 46 50.0,+06 41 48.9,fsrq,0.616,chen
J085040.0+543753.2,08 50 40.0,+54 37 53.2,fsrq,0.367,chen
J090835.8+415046.0,09 08 35.8,+41 50 46.0,fsrq,0.734,chen
J091401.8+050750.6,09 14 01.8,+05 07 50.6,fsrq,0.301,chen
J092554.7+400414.2,09 25 54.7,+40 04 14.2,fsrq,0.471,chen
J092703.0+390220.7,09 27 03.0,+39 02 20.7,fsrq,0.695,chen
J093712.3+500852.0,09 37 12.3,+50 08 52.0,fsrq,0.276,chen
J100017.6+000523.9,10 00 17.6,+00 05 23.9,fsrq,0.905,chen
J102106.0+452331.6,10 21 06.0,+45 23 31.6,fsrq,0.364,chen
J102738.5+605016.7,10 27 38.5,+60 50 16.7,fsrq,0.332,chen
J103214.6+635950.2,10 32 14.6,+63 59 50.2,fsrq,0.556,chen
J104207.6+501322.1,10 42 07.6,+50 13 22.1,fsrq,1.265,chen
J110539.0+020257.2,11 05 39.0,+02 02 57.2,fsrq,0.105,chen
J110718.9+100418.1,11 07 18.9,+10 04 18.1,fsrq,0.633,chen
J112023.2+540426.9,11 20 23.2,+54 04 26.9,fsrq,0.923,chen
J113251.1+541031.6,11 32 51.1,+54 10 31.6,fsrq,1.624,chen
J114803.2+565411.4,11 48 03.2,+56 54 11.4,fsrq,0.451,chen
J115542.5+021411.3,11 55 42.5,+02 14 11.3,fsrq,0.873,chen
J120822.5+524013.5,12 08 22.5,+52 40 13.5,fsrq,0.432,chen
J122940.9+624255.0,12 29 40.9,+62 42 55.0,fsrq,0.967,chen
J123157.1+542028.8,12 31 57.1,+54 20 28.8,fsrq,0.516,chen
J123807.8+532555.8,12 38 07.8,+53 25 55.8,fsrq,0.347,chen
J124116.5+514130.1,12 41 16.5,+51 41 30.1,fsrq,0.823,chen
J124139.7+493405.6,12 41 39.7,+49 34 05.6,fsrq,0.474,chen
J130444.0+013230.9,13 04 44.0,+01 32 30.9,fsrq,2.288,chen
J130554.2+014929.9,13 05 54.2,+01 49 29.9,fsrq,0.733,chen
J131211.1+480925.2,13 12 11.1,+48 09 25.2,fsrq,0.715,chen
J131827.1+620036.2,13 18 27.1,+62 00 36.2,fsrq,0.307,chen
J132631.5+473755.8,13 26 31.5,+47 37 55.8,fsrq,0.682,chen
J133253.3+020045.4,13 32 53.3,+02 00 45.4,fsrq,0.216,chen
J134617.6+622044.7,13 46 17.6,+62 20 44.7,fsrq,0.117,chen
J134739.8+622148.9,13 47 39.8,+62 21 48.9,fsrq,0.804,chen
J135305.5+044338.3,13 53 05.5,+04 43 38.3,fsrq,0.523,chen
J142314.2+505537.6,14 23 14.2,+50 55 37.6,fsrq,0.276,chen
J142606.2+402432.0,14 26 06.2,+40 24 32.0,fsrq,0.664,chen
J142632.4+025645.6,14 26 32.4,+02 56 45.6,fsrq,0.861,chen
J150824.7+560423.3,15 08 24.7,+56 04 23.3,fsrq,0.978,chen
J151526.7+593453.3,15 15 26.7,+59 34 53.3,fsrq,0.622,chen
J151830.9+483214.5,15 18 30.9,+48 32 14.5,fsrq,0.576,chen
J152556.2+591659.2,15 25 56.2,+59 16 59.2,fsrq,0.955,chen
J152942.2+350851.5,15 29 42.2,+35 08 51.5,fsrq,0.287,chen
J153404.4+580059.4,15 34 04.4,+58 00 59.4,fsrq,1.572,chen
J154232.0+493842.7,15 42 32.0,+49 38 42.7,fsrq,0.59,chen
J155853.6+425817.6,15 58 53.6,+42 58 17.6,fsrq,0.874,chen
J161035.4+480022.3,16 10 35.4,+48 00 22.3,fsrq,0.247,chen
J161655.6+362134.4,16 16 55.6,+36 21 34.4,fsrq,2.265,chen
J163856.5+433513.0,16 38 56.5,+43 35 13.0,fsrq,0.339,chen
J164054.2+314329.8,16 40 54.2,+31 43 29.8,fsrq,0.958,chen
J164147.6+393503.4,16 41 47.6,+39 35 03.4,fsrq,0.539,chen
J164452.6+373009.3,16 44 52.6,+37 30 09.3,fsrq,0.758,chen
J164544.7+375526.3,16 45 44.7,+37 55 26.3,fsrq,0.598,chen
J165801.4+344328.5,16 58 01.4,+34 43 28.5,fsrq,1.939,chen
J170112.4+353353.3,17 01 12.4,+35 33 53.3,fsrq,0.501,chen
J172051.2+620944.6,17 20 51.2,+62 09 44.6,fsrq,1.01,chen
5BZQJ0000-3221,00 00 20.39,-32 21 01.0,fsrq,1.275,bzcat
5BZQJ0001-1551,00 01 05.29,-15 51 06.98,fsrq,2.044,bzcat
5BZQJ0001+1914,00 01 08.62,+19 14 34.18,fsrq,3.1,bzcat
5BZQJ0003+2129,00 03 19.33,+21 29 44.59,fsrq,0.45,bzcat
5BZQJ0004+4615,00 04 16.17,+46 15 18.21,fsrq,1.81,bzcat
5BZQJ0004-4736,00 04 35.64,-47 36 19.51,fsrq,0.884,bzcat
5BZQJ0004+2019,00 04 35.75,+20 19 42.59,fsrq,0.677,bzcat
5BZQJ0005-1648,00 05 17.93,-16 48 04.71,fsrq,0.78,bzcat
5BZQJ0005+0524,00 05 20.21,+05 24 10.9,fsrq,1.9,bzcat
5BZQJ0005+3820,00 05 57.18,+38 20 15.21,fsrq,0.229,bzcat
5BZBJ0006-0623,00 06 13.89,-06 23 35.19,bllac,0.347,bzcat
5BZQJ0006+2422,00 06 48.78,+24 22 36.51,fsrq,1.684,bzcat
5BZQJ0007-6113,00 07 20.58,-61 13 06.31,fsrq,0.857,bzcat
5BZQJ0008-2339,00 08 00.36,-23 39 17.89,fsrq,1.412,bzcat
5BZBJ0008-2339,00 08 35.38,-23 39 27.79,bllac,0.147,bzcat
5BZQJ0008-4619,00 08 37.54,-46 19 40.8,fsrq,1.85,bzcat
5BZQJ0009+0625,00 09 17.04,+06 25 54.69,fsrq,2.694,bzcat
5BZQJ0010+2047,00 10 28.74,+20 47 50.09,fsrq,0.6,bzcat
5BZQJ0010+1058,00 10 31.0,+10 58 29.6,fsrq,0.089,bzcat
5BZQJ0010+1724,00 10 33.99,+17 24 19.0,fsrq,1.601,bzcat
5BZQJ0010-3027,00 10 35.71,-30 27 47.41,fsrq,1.19,bzcat
5BZQJ0010-2945,00 10 45.18,-29 45 13.21,fsrq,2.344,bzcat
5BZQJ0011-2612,00 11 01.21,-26 12 32.0,fsrq,1.096,bzcat
5BZQJ0011-3620,00 11 14.71,-36 20 39.4,fsrq,2.324,bzcat
5BZQJ0012+3353,00 12 47.35,+33 53 38.61,fsrq,1.682,bzcat
5BZQJ0013-1513,00 13 20.7,-15 13 47.2,fsrq,1.838,bzcat
5BZQJ0013-0423,00 13 54.11,-04 23 52.11,fsrq,1.075,bzcat
5BZBJ0013+1910,00 13 56.35,+19 10 41.98,bllac,0.477,bzcat
5BZQJ0014-3059,00 14 37.95,-30 59 19.21,fsrq,2.785,bzcat
5BZQJ0015-1812,00 15 02.47,-18 12 50.68,fsrq,0.743,bzcat
5BZQJ0015+1700,00 15 39.97,+17 00 41.0,fsrq,1.709,bzcat
5BZQJ0016-0015,00 16 11.09,-00 15 12.38,fsrq,1.577,bzcat
5BZQJ0017+8135,00 17 08.45,+81 35 08.19,fsrq,3.387,bzcat
5BZQJ0017-0512,00 17 35.81,-05 12 41.61,fsrq,0.227,bzcat
5BZQJ0017-2748,00 17 58.99,-27 48 21.09,fsrq,1.169,bzcat
5BZQJ0019+2602,00 19 39.78,+26 02 52.4,fsrq,0.284,bzcat
5BZQJ0019-3031,00 19 42.67,-30 31 19.19,fsrq,2.677,bzcat
5BZQJ0019+7327,00 19 45.77,+73 27 30.31,fsrq,1.781,bzcat
5BZQJ0022+4525,00 22 06.61,+45 25 34.1,fsrq,1.897,bzcat
5BZQJ0024+2439,00 24 27.32,+24 39 26.6,fsrq,1.444,bzcat
5BZQJ0024+0349,00 24 45.2,+03 49 03.68,fsrq,0.545,bzcat
5BZQJ0024-0412,00 24 45.95,-04 12 01.69,fsrq,1.946,bzcat
5BZQJ0025-2227,00 25 24.24,-22 27 47.59,fsrq,0.834,bzcat
5BZQJ0026-1112,00 26 51.42,-11 12 52.48,fsrq,1.118,bzcat
5BZQJ0027+2241,00 27 15.36,+22 41 58.3,fsrq,1.119,bzcat
5BZBJ0028+2408,00 28 34.2,+24 08 08.41,uncertain,0.373,bzcat
5BZUJ0028+0035,00 28 39.84,+00 35 41.31,uncertain,0.687,bzcat
5BZQJ0029+0509,00 29 03.58,+05 09 34.81,fsrq,1.633,bzcat
5BZQJ0029+0554,00 29 45.89,+05 54 40.89,fsrq,1.314,bzcat
5BZQJ0030-4224,00 30 17.48,-42 24 46.4,fsrq,0.495,bzcat
5BZQJ0031-3922,00 31 24.32,-39 22 49.4,fsrq,1.298,bzcat
5BZQJ0031-4108,00 31 28.04,-41 08 15.68,fsrq,0.896,bzcat
5BZQJ0032-2649,00 32 33.0,-26 49 18.19,fsrq,1.47,bzcat
5BZBJ0032-2849,00 32 33.06,-28 49 20.31,bllac,0.324,bzcat
5BZQJ0034+2754,00 34 43.49,+27 54 25.7,fsrq,2.964,bzcat
5BZQJ0036-0932,00 36 06.95,-09 32 29.61,fsrq,1.182,bzcat
5BZQJ0037-2145,00 37 14.82,-21 45 24.69,fsrq,2.513,bzcat
5BZBJ0037+2141,00 37 23.53,+21 41 53.3,uncertain,0.598,bzcat
5BZQJ0038-2459,00 38 14.72,-24 59 02.18,fsrq,0.498,bzcat
5BZQJ0038-0329,00 38 20.79,-03 29 58.81,fsrq,1.858,bzcat
5BZQJ0038+4137,00 38 24.84,+41 37 06.31,fsrq,1.353,bzcat
5BZQJ0038+1856,00 38 28.87,+18 56 17.7,fsrq,1.193,bzcat
5BZQJ0039-0942,00 39 06.28,-09 42 46.79,fsrq,2.102,bzcat
5BZQJ0039-1111,00 39 31.57,-11 11 02.39,fsrq,0.552,bzcat
5BZBJ0040-2719,00 40 16.4,-27 19 11.6,bllac,0.172,bzcat
5BZQJ0040-0146,00 40 57.6,-01 46 31.9,fsrq,1.178,bzcat
5BZQJ0042-4030,00 42 01.2,-40 30 39.2,fsrq,2.478,bzcat
5BZQJ0042+2320,00 42 04.55,+23 20 01.28,fsrq,1.426,bzcat
5BZQJ0042+1509,00 42 13.57,+15 09 15.4,fsrq,1.159,bzcat
5BZQJ0042+1009,00 42 44.35,+10 09 49.5,fsrq,1.657,bzcat
5BZUJ0043-2639,00 43 22.72,-26 39 06.01,uncertain,0.451,bzcat
5BZQJ0043+0025,00 43 32.7,+00 25 00.01,fsrq,1.128,bzcat
5BZQJ0043+3426,00 43 48.89,+34 26 25.9,fsrq,0.966,bzcat
5BZQJ0044-3752,00 44 17.04,-37 52 59.19,fsrq,0.483,bzcat
5BZQJ0044-8422,00 44 26.56,-84 22 40.0,fsrq,1.032,bzcat
5BZQJ0045-2243,00 45 39.59,-22 43 55.09,fsrq,1.538,bzcat
5BZQJ0046+3900,00 46 47.54,+39 00 47.41,fsrq,0.958,bzcat
5BZQJ0047+2435,00 47 43.86,+24 35 15.89,fsrq,0.62,bzcat
5BZQJ0047-8256,00 47 51.38,-82 56 49.41,fsrq,1.112,bzcat
5BZBJ0047+3948,00 47 55.21,+39 48 57.6,bllac,0.252,bzcat
5BZQJ0048+2235,00 48 02.6,+22 35 24.28,fsrq,1.161,bzcat
5BZUJ0049-4457,00 49 16.6,-44 57 11.01,uncertain,0.121,bzcat
5BZQJ0049-3116,00 49 22.88,-31 16 27.29,fsrq,2.721,bzcat
5BZQJ0049-2509,00 49 33.72,-25 09 33.98,fsrq,1.472,bzcat
5BZQJ0049+5128,00 49 37.95,+51 28 14.01,fsrq,0.87,bzcat
5BZQJ0049-5738,00 49 59.51,-57 38 26.69,fsrq,1.797,bzcat
5BZQJ0050-0452,00 50 21.53,-04 52 20.31,fsrq,0.922,bzcat
5BZQJ0051-0650,00 51 08.2,-06 50 01.89,fsrq,1.975,bzcat
5BZQJ0051-4226,00 51 09.48,-42 26 32.78,fsrq,1.749,bzcat
5BZQJ0052+4402,00 52 27.82,+44 02 54.59,fsrq,2.624,bzcat
5BZQJ0052-2825,00 52 52.54,-28 25 54.01,fsrq,1.643,bzcat
5BZBJ0056+1625,00 56 55.25,+16 25 13.51,uncertain,0.206,bzcat
5BZQJ0057-0024,00 57 16.98,-00 24 32.61,fsrq,2.747,bzcat
5BZQJ0058-0539,00 58 05.07,-05 39 52.3,fsrq,1.246,bzcat
5BZUJ0058+3311,00 58 32.05,+33 11 17.41,uncertain,1.369,bzcat
5BZQJ0058+0620,00 58 33.79,+06 20 06.39,fsrq,0.592,bzcat
5BZQJ0059+0006,00 59 05.51,+00 06 51.69,fsrq,0.719,bzcat
5BZQJ0100-3337,01 00 09.29,-33 37 32.19,fsrq,0.874,bzcat
5BZQJ0100+3345,01 00 38.28,+33 45 06.19,fsrq,2.144,bzcat
5BZQJ0102-8012,01 02 14.81,-80 12 39.38,fsrq,1.169,bzcat
5BZQJ0102-7546,01 02 18.59,-75 46 50.98,fsrq,1.017,bzcat
5BZQJ0102+4214,01 02 27.11,+42 14 19.28,fsrq,0.874,bzcat
5BZQJ0102-2646,01 02 56.34,-26 46 36.08,fsrq,1.597,bzcat
5BZUJ0103-6439,01 03 33.71,-64 39 07.59,uncertain,0.163,bzcat
5BZQJ0104-2416,01 04 58.19,-24 16 28.41,fsrq,1.747,bzcat
5BZUJ0106+3402,01 06 00.29,+34 02 03.01,uncertain,0.579,bzcat
5BZQJ0106-0155,01 06 22.98,-01 55 38.38,fsrq,2.194,bzcat
5BZQJ0106-2718,01 06 26.08,-27 18 11.8,fsrq,2.486,bzcat
5BZQJ0106-1034,01 06 44.15,-10 34 10.3,fsrq,0.469,bzcat
5BZQJ0106-4034,01 06 45.11,-40 34 19.99,fsrq,0.584,bzcat
5BZQJ0107+2611,01 07 47.88,+26 11 08.59,fsrq,0.522,bzcat
5BZQJ0108-0037,01 08 26.83,-00 37 24.2,fsrq,1.374,bzcat
5BZQJ0108+0135,01 08 38.76,+01 35 00.31,fsrq,2.099,bzcat
5BZQJ0109+6133,01 09 46.33,+61 33 30.49,fsrq,0.783,bzcat
5BZBJ0110-0047,01 10 12.66,-00 47 46.78,bllac,0.548,bzcat
5BZQJ0110-1648,01 10 35.51,-16 48 27.68,fsrq,0.78,bzcat
5BZQJ0110-0741,01 10 50.02,-07 41 41.1,fsrq,1.779,bzcat
5BZBJ0111+0536,01 11 30.18,+05 36 27.28,uncertain,0.346,bzcat
5BZUJ0111+3906,01 11 37.31,+39 06 28.11,uncertain,0.668,bzcat
5BZQJ0111-1317,01 11 56.86,-13 17 01.1,fsrq,2.42,bzcat
5BZQJ0112+2020,01 12 10.19,+20 20 21.8,fsrq,0.746,bzcat
5BZQJ0112+3522,01 12 12.94,+35 22 19.3,fsrq,0.45,bzcat
5BZQJ0112+3818,01 12 18.05,+38 18 56.91,fsrq,0.333,bzcat
5BZQJ0112-6634,01 12 18.9,-66 34 45.19,fsrq,1.189,bzcat
5BZQJ0112+3208,01 12 50.33,+32 08 17.41,fsrq,0.603,bzcat
5BZQJ0113-3551,01 13 15.84,-35 51 47.91,fsrq,1.22,bzcat
5BZQJ0113+4948,01 13 26.99,+49 48 24.01,fsrq,0.389,bzcat
5BZQJ0113+1324,01 13 54.5,+13 24 52.48,fsrq,0.685,bzcat
5BZBJ0115-3400,01 15 01.72,-34 00 27.21,bllac,0.482,bzcat
5BZQJ0115-0127,01 15 17.1,-01 27 04.6,fsrq,1.381,bzcat
5BZQJ0115-2804,01 15 23.87,-28 04 55.2,fsrq,2.579,bzcat
5BZQJ0115-3049,01 15 46.42,-30 49 19.09,fsrq,1.414,bzcat
5BZQJ0116-1136,01 16 12.52,-11 36 15.4,fsrq,0.671,bzcat
5BZQJ0117+1418,01 17 25.2,+14 18 12.38,fsrq,0.839,bzcat
5BZQJ0117-3357,01 17 44.59,-33 57 05.0,fsrq,0.647,bzcat
5BZBJ0117-2443,01 17 46.99,-24 43 33.7,bllac,0.279,bzcat
5BZQJ0117-2111,01 17 48.78,-21 11 06.68,fsrq,1.49,bzcat
5BZQJ0118-2141,01 18 57.25,-21 41 30.08,fsrq,1.165,bzcat
5BZQJ0121-2806,01 21 00.73,-28 06 22.1,fsrq,3.119,bzcat
5BZQJ0121+1127,01 21 28.99,+11 27 00.5,fsrq,2.487,bzcat
5BZQJ0121+1149,01 21 41.56,+11 49 50.59,fsrq,0.57,bzcat
5BZQJ0121+0422,01 21 56.86,+04 22 24.7,fsrq,0.637,bzcat
5BZQJ0122+0310,01 22 01.91,+03 10 02.49,fsrq,4.0,bzcat
5BZQJ0122+2502,01 22 38.81,+25 02 31.81,fsrq,2.025,bzcat
5BZQJ0122-0935,01 22 48.06,-09 35 47.0,fsrq,0.784,bzcat
5BZBJ0123+3420,01 23 08.63,+34 20 48.51,bllac,0.272,bzcat
5BZBJ0123-2310,01 23 38.34,-23 10 58.58,uncertain,0.404,bzcat
5BZBJ0124+0918,01 24 44.52,+09 18 49.28,bllac,0.338,bzcat
5BZQJ0124+2805,01 24 55.87,+28 05 11.4,fsrq,0.71,bzcat
5BZQJ0124-5113,01 24 57.35,-51 13 16.49,fsrq,1.104,bzcat
5BZQJ0125+0146,01 25 05.5,+01 46 26.9,fsrq,1.559,bzcat
5BZQJ0125-0005,01 25 28.84,-00 05 55.89,fsrq,1.077,bzcat
5BZQJ0126-2222,01 26 15.0,-22 22 33.6,fsrq,0.717,bzcat
5BZQJ0126+2559,01 26 42.78,+25 59 01.21,fsrq,2.358,bzcat
5BZBJ0127-0013,01 27 50.82,-00 13 46.59,bllac,0.44,bzcat
5BZUJ0128+4439,01 28 41.33,+44 39 18.0,uncertain,0.228,bzcat
5BZQJ0130-1019,01 30 08.89,-10 19 07.71,fsrq,1.005,bzcat
5BZQJ0130+0842,01 30 27.64,+08 42 46.18,fsrq,0.725,bzcat
5BZQJ0131+3834,01 31 26.7,+38 34 39.21,fsrq,1.277,bzcat
5BZQJ0132-1654,01 32 43.47,-16 54 48.38,fsrq,1.02,bzcat
5BZQJ0135-2008,01 35 37.5,-20 08 45.88,fsrq,1.141,bzcat
5BZQJ0136-4044,01 36 06.61,-40 44 19.89,fsrq,0.649,bzcat
5BZQJ0136+4751,01 36 58.59,+47 51 29.08,fsrq,0.859,bzcat
5BZQJ0137+3122,01 37 08.72,+31 22 35.79,fsrq,1.716,bzcat
5BZQJ0137-2430,01 37 38.34,-24 30 53.89,fsrq,0.835,bzcat
5BZQJ0138-2711,01 38 09.82,-27 11 27.88,fsrq,2.999,bzcat
5BZBJ0138-1754,01 38 11.69,-17 54 13.6,bllac,0.53,bzcat
5BZQJ0138-0540,01 38 51.84,-05 40 08.18,fsrq,2.004,bzcat
5BZQJ0138-2254,01 38 57.47,-22 54 47.3,fsrq,1.895,bzcat
5BZQJ0140-1532,01 40 04.43,-15 32 55.71,fsrq,0.819,bzcat
5BZQJ0141-0202,01 41 33.78,-02 02 21.51,fsrq,1.281,bzcat
5BZUJ0141+3923,01 41 57.75,+39 23 29.18,uncertain,0.08,bzcat
5BZQJ0143+4129,01 43 03.17,+41 29 20.39,fsrq,0.824,bzcat
5BZQJ0143-6813,01 43 19.21,-68 13 27.19,fsrq,1.223,bzcat
5BZQJ0145-2733,01 45 03.39,-27 33 34.3,fsrq,1.148,bzcat
5BZQJ0146-2727,01 46 40.27,-27 27 40.21,fsrq,1.732,bzcat
5BZQJ0148+3854,01 48 24.37,+38 54 05.18,fsrq,1.442,bzcat
5BZQJ0148+4215,01 48 44.57,+42 15 19.4,fsrq,3.242,bzcat
5BZQJ0149+0555,01 49 22.37,+05 55 53.61,fsrq,2.345,bzcat
5BZQJ0149+1857,01 49 49.72,+18 57 20.59,fsrq,0.584,bzcat
5BZQJ0151-3435,01 51 23.48,-34 35 13.88,fsrq,1.31,bzcat
5BZQJ0151+2744,01 51 27.14,+27 44 41.78,fsrq,1.26,bzcat
5BZQJ0152+2207,01 52 18.06,+22 07 07.71,fsrq,1.32,bzcat
5BZQJ0152-1412,01 52 31.99,-14 12 39.38,fsrq,1.35,bzcat
5BZQJ0152-2942,01 52 33.68,-29 42 47.91,fsrq,1.221,bzcat
5BZQJ0153-3310,01 53 10.12,-33 10 25.89,fsrq,0.61,bzcat
5BZQJ0154-5107,01 54 19.64,-51 07 51.49,fsrq,1.582,bzcat
5BZQJ0154-1346,01 54 29.34,-13 46 35.5,fsrq,1.01,bzcat
5BZQJ0154+4743,01 54 56.28,+47 43 26.5,fsrq,1.026,bzcat
5BZQJ0155+0438,01 55 03.72,+04 38 30.3,fsrq,1.132,bzcat
5BZQJ0155+2230,01 55 58.93,+22 30 11.91,fsrq,1.456,bzcat
5BZQJ0157+7442,01 57 34.96,+74 42 43.2,fsrq,2.341,bzcat
5BZQJ0157-4614,01 57 51.12,-46 14 23.2,fsrq,2.287,bzcat
5BZBJ0159+1047,01 59 34.38,+10 47 05.49,bllac,0.195,bzcat
5BZQJ0159-5143,01 59 59.79,-51 43 34.71,fsrq,2.39,bzcat
5BZQJ0202-1948,02 02 13.85,-19 48 19.51,fsrq,0.493,bzcat
5BZBJ0203+3042,02 03 44.27,+30 42 37.79,bllac,0.761,bzcat
5BZQJ0203+1134,02 03 46.66,+11 34 45.4,fsrq,3.639,bzcat
5BZBJ0204-3333,02 04 12.78,-33 33 41.11,bllac,0.617,bzcat
5BZQJ0204-5146,02 04 50.97,-51 46 58.9,fsrq,1.42,bzcat
5BZQJ0204-1701,02 04 57.66,-17 01 19.81,fsrq,1.74,bzcat
5BZQJ0205+3212,02 05 04.92,+32 12 30.09,fsrq,1.466,bzcat
5BZQJ0205+1444,02 05 13.12,+14 44 32.38,fsrq,2.85,bzcat
5BZQJ0205+3932,02 05 13.99,+39 32 57.01,fsrq,0.454,bzcat
5BZQJ0206-1150,02 06 26.08,-11 50 39.69,fsrq,1.663,bzcat
5BZQJ0206-6143,02 06 40.0,-61 43 32.19,fsrq,0.732,bzcat
5BZQJ0208-6216,02 08 01.16,-62 16 35.5,fsrq,2.382,bzcat
5BZBJ0208+3523,02 08 38.16,+35 23 12.91,bllac,0.318,bzcat
5BZQJ0209-0438,02 09 30.77,-04 38 26.08,fsrq,1.128,bzcat
5BZQJ0209+1352,02 09 35.99,+13 52 00.69,fsrq,0.631,bzcat
5BZQJ0210-1003,02 10 00.2,-10 03 54.21,fsrq,1.976,bzcat
5BZUJ0210-5101,02 10 46.19,-51 01 01.88,uncertain,1.003,bzcat
5BZUJ0211-1558,02 11 49.75,-15 58 18.91,uncertain,0.177,bzcat
5BZBJ0212+2244,02 12 52.81,+22 44 52.0,bllac,0.459,bzcat
5BZQJ0213+1820,02 13 10.52,+18 20 25.4,fsrq,1.817,bzcat
5BZQJ0215-0222,02 15 42.01,-02 22 56.78,fsrq,1.177,bzcat
5BZQJ0216-0118,02 16 05.65,-01 18 03.31,fsrq,2.803,bzcat
5BZQJ0216-0105,02 16 12.21,-01 05 18.81,fsrq,1.492,bzcat
5BZBJ0216+2314,02 16 32.09,+23 14 50.2,uncertain,0.288,bzcat
5BZQJ0216-7331,02 16 44.63,-73 31 40.4,fsrq,2.679,bzcat
5BZQJ0216-3247,02 16 48.18,-32 47 40.88,fsrq,1.331,bzcat
5BZUJ0217-0820,02 17 02.65,-08 20 52.4,uncertain,0.607,bzcat
5BZQJ0217+7349,02 17 30.8,+73 49 32.59,fsrq,2.367,bzcat
5BZQJ0217-7251,02 17 35.69,-72 51 27.89,fsrq,0.293,bzcat
5BZQJ0217-7347,02 17 45.11,-73 47 23.2,fsrq,1.234,bzcat
