bname,ra,dec,classification,InNED,umag,gmag,rmag,imag,zmag,z,f_Zspec,C,Sp-Index,Comments,Zhg,FAGN,logOL,RFlag,Rflux,logRL,XFlag,Xflux,logXL,Ind-RO,Ind-OX,btype,catalog
133859.05+115316.7,204.74606,11.88798,H,N,18.72,18.21,17.85,17.6,17.4,,U,,1.0,"P08            ",0.338,17.77,29.937,F,15.09,31.743,U,2.811,26.082,0.355,1.48,bllac,plotkin
133910.80+080024.4,204.79501,8.0068,H,N,19.98,19.53,19.24,19.02,18.76,,U,,1.26,,0.642,18.7,30.062,F,9.96,32.119,U,2.851,26.78,0.405,1.26,bllac,plotkin
134029.79+441003.9,205.12416,44.16777,H,Y,19.61,19.23,18.87,18.49,18.22,0.546,R,0.221,0.84,"A07;P08        ",,18.19,30.116,F,34.18,32.516,R,41.07,27.761,0.473,0.904,bllac,plotkin
134037.58-014847.6,205.15662,-1.81323,H,N,21.05,20.58,20.05,19.54,19.17,0.513,T,0.189,0.82,"C05;P08        ",,19.11,29.683,F,6.8,31.761,U,2.947,26.548,0.409,1.203,bllac,plotkin
134105.10+395945.4,205.27127,39.99595,H,N,19.16,18.5,18.01,17.66,17.29,0.172,R,0.278,1.59,"A07;P08        ",,17.64,29.17,F,41.43,31.584,R,73.5,26.814,0.475,0.904,bllac,plotkin
134136.23+551437.9,205.40096,55.24388,H,Y,19.38,18.81,18.15,17.84,17.57,0.207,R,0.278,0.77,"A07;P08        ",,17.83,29.361,F,33.08,31.652,R,10.63,26.16,0.451,1.229,bllac,plotkin
134145.08+190536.7,205.43787,19.09354,H,N,20.21,20.02,19.75,19.47,19.21,,U,,1.03,,0.631,19.18,29.861,F,12.03,32.186,U,2.348,26.677,0.458,1.222,bllac,plotkin
134240.33+093911.2,205.66806,9.65312,H,N,19.83,19.57,19.31,19.04,18.89,,U,,1.11,,0.487,18.86,29.71,F,2.47,31.276,R,17.51,27.266,0.308,0.938,bllac,plotkin
134633.98+244058.4,206.64162,24.68291,H,N,19.38,18.6,17.86,17.51,17.18,0.167,R,0.292,0.87,"P08            ",,17.48,29.29,F,27.0,31.377,U,1.741,25.166,0.411,1.584,bllac,plotkin
134853.41+075647.7,207.22256,7.9466,H,N,19.71,18.96,18.06,17.6,17.3,0.25,R,0.306,0.92,,,17.56,29.64,F,33.46,31.822,R,21.82,26.66,0.43,1.144,bllac,plotkin
135120.84+111453.0,207.83685,11.24806,H,Y,19.12,18.82,18.57,18.26,18.07,,U,,0.82,"A07;P08        ",0.357,18.5,29.692,F,36.79,32.178,R,19.03,26.97,0.489,1.045,bllac,plotkin
