Object Name,RA(deg),DEC(deg),Redshift
SDSS J085701.00+234239.5,134.25418,23.71099,1.524779
2MASS J08572979+0627248,134.37413,6.45695,0.338135
2MASX J08574977+0135301,134.45754,1.59175,0.281321
SDSS J085920.55+004712.1,134.83565,0.78671,0.8211
SDSS J090107.60+384659.0,135.28186,38.78299,1.329
SDSS J090207.95+454433.0,135.53317,45.74251,0.288563
WISE J090226.91+205046.5,135.61213,20.84623,2.055
SDSS J090240.47+153556.7,135.66864,15.59911,
2MASX J09031474+4056002,135.81132,40.93325,0.188223
SDSS J090334.27+285359.2,135.89288,28.89976,0.527
SDSS J090523.60+575912.4,136.34836,57.98679,0.712085
SDSS J090700.08+085751.3,136.75036,8.96429,1.331
SDSS J090703.91+410748.3,136.76634,41.13009,2.671651
SDSS J090818.95+214820.0,137.07898,21.80558,2.089
SDSS J090843.25+285229.8,137.18024,28.87496,0.933054
SDSS J090855.92+160954.8,137.23302,16.16521,0.652
SDSS J090900.62+231113.0,137.25259,23.18695,0.431
PKS 0907+022,137.41603,2.00146,1.575
B2 0906+31,137.47201,31.10088,0.272118
FBQS J091037.0+332924,137.65431,33.49012,0.354
2MASS J09104531+2548126,137.68876,25.80358,0.384533
FBQS J091052.0+390202,137.71682,39.0339,0.198696
2MASS J09114777+3349167,137.94901,33.82133,0.456101
2MASS J09115135+2949294,137.96391,29.82489,0.44569
SDSS J091211.21+275927.9,138.04672,27.99109,1.545
SDSS J091249.60+050317.7,138.2067,5.05493,0.452192
FBQS J091552.3+293324,138.96834,29.55668,0.101
2MASX J09165193+5238281,139.21644,52.64123,0.190481
B3 0914+406,139.41726,40.49149,0.720931
2MASS J09184859+0213220,139.70244,2.22273,2.075
SDSS J092145.37+233548.1,140.43908,23.59672,1.0619
SDSS J092146.79+245541.3,140.44497,24.92815,2.065
SDSS J092216.38+234645.5,140.56827,23.77932,0.635114
SDSS J092309.41+215523.8,140.78922,21.92328,0.542
SDSS J092312.75+174452.8,140.80314,17.74801,2.260889
SDSS J092352.85+264959.6,140.97022,26.83323,0.302105
SDSS J092401.04+053345.3,141.00434,5.56261,0.570905
SDSS J092430.80+312032.3,141.12835,31.34231,
SDSS J092542.87+595816.3,141.42878,59.97127,1.575
B2 0922+31B,141.43188,31.453,0.26
2MASS J09263881+5411270,141.66199,54.19073,0.85
SDSS J092814.02+545848.3,142.05848,54.9801,0.781128
SDSS J092837.43+404845.2,142.15595,40.81254,0.830344
SDSS J092839.08+533152.2,142.16289,53.53116,1.0009
SDSS J092902.42+194525.1,142.26011,19.757,1.774
2MASS J09291222+0300297,142.30106,3.00831,
WISE J092915.43+501336.1,142.31433,50.22666,0.370387
SDSS J092938.07+190502.0,142.40866,19.08391,1.36213
2MASS J09303759+4950256,142.65663,49.84043,0.186742
SDSS J093217.59+341232.8,143.0733,34.20913,0.5697
2MASS J09323935+1042352,143.16403,10.70978,0.361228
WISE J093406.65+392632.2,143.52779,39.44226,0.044399
SDSS J093437.53+262232.6,143.65639,26.37574,3.3702
SDSS J093544.16+124031.6,143.93403,12.67545,
SDSS J093627.66+185003.3,144.11527,18.83426,0.831127
SDSS J093807.86+371751.3,144.53279,37.29762,0.559857
2MASX J09402250+6148267,145.09353,61.80728,0.210671
SDSS J094245.30+541620.4,145.68879,54.27236,0.475
SDSS J094257.80-004705.2,145.7409,-0.7848,1.362837
SDSS J094432.32+573536.0,146.13467,57.59333,1.905
WISE J094542.21+575747.6,146.426,57.96325,0.229004
SDSS J094604.46+473510.1,146.51864,47.58615,0.568867
SDSS J094620.21+010452.0,146.58424,1.08112,0.577023
SDSS J094738.58+221533.3,146.91078,22.25927,0.415
2MASS J09474036+3453454,146.91803,34.89586,2.055
SDSS J094827.05+083940.8,147.11276,8.66135,1.487173
SDSS J094853.60+085514.4,147.22335,8.92068,1.9711
SDSS J094911.91+182231.4,147.29966,18.37541,
2MASS J09500345+0615039,147.51445,6.25106,0.435
SDSS J095041.07+233159.5,147.67114,23.53322,2.11595
SDSS J095125.90+504559.7,147.85792,50.76659,1.363254
2MASS J09512783+0102103,147.8659,1.03619,0.502
SDSS J095214.70+393615.8,148.06129,39.60442,2.24178
SDSS J095409.86+491459.5,148.5411,49.24988,0.380045
SDSS J095438.39+234118.2,148.65998,23.68839,1.333
SDSS J095501.87+083342.1,148.75782,8.56173,1.05572
SDSS J095507.88+355100.8,148.78283,35.85023,0.557
SDSS J095549.67+101429.5,148.95699,10.24155,0.372696
SDSS J095550.53+555506.9,148.96057,55.91859,2.075
SDSS J095649.53+015601.8,149.20646,1.93383,0.24
SDSS J095802.93+062634.5,149.51221,6.44293,0.969883
2MASS J09592989+2123210,149.87453,21.38918,0.365104
SDSS J100040.67+531911.7,150.16949,53.31994,0.6795
SDSS J100050.21+574609.1,150.20925,57.76922,0.64
WISE J100110.20+291137.6,150.29252,29.19376,0.558
SDSS J100234.42+221614.9,150.64342,22.27081,1.985
SDSS J100309.39+073822.8,150.78918,7.63968,0.983
SDSS J100326.63+020455.6,150.86098,2.08213,2.075
SDSS J100408.18+144909.9,151.03411,14.81944,0.712
2MASS J10044474+3752122,151.18652,37.87,0.44028
SDSS J100517.54+331202.8,151.32311,33.2008,1.802269
SDSS J100612.22+644011.5,151.55096,64.66987,2.075
2MASS J10065644+3454453,151.73527,34.91255,0.612
2MASS J10081139+4705216,152.04762,47.08928,0.343146
SDSS J100902.82+621354.7,152.26177,62.23188,1.377
2MASS J10095962+0145327,152.4985,1.75936,1.086
PKS 1008+013,152.81516,1.11181,1.275
SDSS J101118.50+013755.8,152.82712,1.63217,0.466809
SDSS J101141.02+291114.7,152.92092,29.18744,2.055
WISE J101213.35+063057.2,153.05562,6.51589,0.727
FBQS J101244.2+422957,153.18453,42.49917,0.365109
SDSS J101353.46+492758.1,153.47278,49.46614,1.639861
[HB89] 1011+496,153.76725,49.43353,0.212
2MASS J10154400+1227078,153.93343,12.45196,0.463
2MASS J10170666+5202471,154.27782,52.04647,0.378711
SDSS J101754.91+431201.1,154.47882,43.20031,2.129469
SDSS J101807.91+190615.5,154.53298,19.10431,0.255
SDSS J101849.78+271914.9,154.70745,27.32081,2.60334
WISE J101858.54+591127.9,154.74388,59.19108,2.025
WISE J101950.86+632001.7,154.96199,63.33378,2.025
2MASX J10201378+6250102,155.05736,62.83614,0.249535
SDSS J102100.35+162554.0,155.25149,16.43168,1.565
SDSS J102128.87+380643.2,155.3703,38.11202,0.466778
SDSS J102130.75+141137.4,155.37816,14.19373,0.509964
FBQS J1022-0113,155.68219,-1.21736,2.045
2MASS J10233974+3000577,155.91564,30.01604,0.433452
2MASS J10245364+2332339,156.22349,23.54277,0.164653
2MASS J10252304+0402290,156.34602,4.04139,0.207743
SDSS J102609.92+253651.2,156.54137,25.61425,2.318118
SDSS J102659.57+514703.8,156.74824,51.78441,0.335
SDSS J102703.39+060933.9,156.76413,6.15942,0.449535
SDSS J102724.94+631753.0,156.85396,63.29806,0.58
SDSS J102732.39+352622.1,156.88497,35.43948,2.045
2MASS J10282764+0555153,157.11507,5.92088,0.233674
2MASX J10311847+5053358,157.82716,50.89328,0.360403
SDSS J103208.36+040157.0,158.03488,4.03252,0.475
SDSS J103220.28+030949.2,158.08451,3.16368,0.323207
2MASS J10323905+6623234,158.1628,66.3898,
FBQS J103240.7+373827,158.16974,37.64084,0.528
2MASX J10331792+4222365,158.32478,42.37678,0.211098
SDSS J103346.39+370825.1,158.44332,37.14033,0.446839
