id , Source name , aro-aox-arx
398 , "5BZQJ0230+4032 " , 1.136
399 , "5BZQJ0231-4746 " , 1.291
400 , "5BZQJ0231-5841 " , 1.302
401 , "5BZQJ0231+1322 " , 1.398
402 , "5BZQJ0231-3935 " , 1.039
403 , "5BZGJ0232+2017 " , 1.285
404 , "5BZBJ0233+3442 " , 1.362
405 , "5BZQJ0233+0229 " , 1.401
406 , "5BZQJ0235-4737 " , 1.223
407 , "5BZBJ0235-2938 " , 0.92
408 , "5BZQJ0236-2953 " , 1.308
409 , "5BZQJ0236-6136 " , 1.27
410 , "5BZQJ0237+0526 " , -9.9
411 , "5BZBJ0237-3603 " , 1.34
412 , "5BZQJ0237+2848 " , 1.236
413 , "5BZBJ0238-0924 " , 0.969
414 , "5BZBJ0238-3116 " , 1.327
415 , "5BZBJ0238+1636 " , 1.148
416 , "5BZQJ0239-7626 " , 1.239
417 , "5BZQJ0239-0234 " , 0.894
418 , "5BZQJ0239+0416 " , 1.293
419 , "5BZQJ0240+4216 " , -9.9
420 , "5BZQJ0240+1848 " , -9.9
421 , "5BZBJ0240-0504 " , -9.9
422 , "5BZUJ0241-0815 " , 2.529
423 , "5BZQJ0242+2653 " , -9.9
424 , "5BZUJ0242+1742 " , -9.9
425 , "5BZQJ0242+1101 " , -9.9
426 , "5BZBJ0243+0046 " , 1.027
427 , "5BZQJ0243-0550 " , -9.9
428 , "5BZBJ0243+7120 " , 1.69
429 , "5BZBJ0244-5819 " , 1.174
430 , "5BZQJ0245+2405 " , 1.377
431 , "5BZGJ0245-1107 " , -9.9
432 , "5BZQJ0246-4651 " , 1.271
433 , "5BZQJ0246-2945 " , -9.9
434 , "5BZQJ0246+1823 " , 1.411
435 , "5BZQJ0246-1236 " , 1.174
436 , "5BZBJ0248-1631 " , -9.9
437 , "5BZQJ0249+0619 " , -9.9
438 , "5BZQJ0250-2731 " , -9.9
439 , "5BZBJ0250-2129 " , 0.826
440 , "5BZUJ0250+1712 " , 1.49
441 , "5BZQJ0251-6000 " , -9.9
442 , "5BZQJ0251+4315 " , 1.521
443 , "5BZQJ0251+3734 " , -9.9
444 , "5BZQJ0252-2219 " , 0.993
445 , "5BZBJ0253-0124 " , 1.596
446 , "5BZQJ0253+0006 " , 0.79
447 , "5BZQJ0253-5441 " , 1.216
448 , "5BZQJ0253+5102 " , -9.9
449 , "5BZQJ0254+2343 " , -9.9
450 , "5BZQJ0254+3931 " , 1.365
451 , "5BZQJ0256-2137 " , -9.9
452 , "5BZQJ0256-3315 " , -9.9
453 , "5BZQJ0257-1212 " , -9.9
454 , "5BZGJ0257+1847 " , -9.9
455 , "5BZBJ0258+2030 " , 1.108
456 , "5BZQJ0258-3909 " , 0.939
457 , "5BZQJ0258-5052 " , 0.749
458 , "5BZQJ0258+0541 " , 1.358
459 , "5BZQJ0259+0747 " , 1.722
460 , "5BZQJ0259-0020 " , 1.44
461 , "5BZQJ0259+1925 " , 1.469
462 , "5BZBJ0301+3441 " , 1.328
463 , "5BZQJ0301-1812 " , -9.9
464 , "5BZQJ0301+0118 " , -9.9
465 , "5BZQJ0301-7156 " , 1.132
466 , "5BZBJ0302-0750 " , -9.9
467 , "5BZQJ0303-7914 " , -9.9
468 , "5BZBJ0303-2407 " , 1.327
469 , "5BZGJ0303+0554 " , 1.191
470 , "5BZBJ0303+4716 " , 1.829
471 , "5BZQJ0303-6211 " , 1.253
472 , "5BZBJ0304-2832 " , 0.544
473 , "5BZQJ0304-7007 " , 1.487
474 , "5BZQJ0304-2024 " , -9.9
475 , "5BZQJ0304-4333 " , 0.999
476 , "5BZBJ0304-0054 " , 1.173
477 , "5BZUJ0304+0002 " , 1.357
478 , "5BZBJ0305-0607 " , -9.9
479 , "5BZQJ0307-4857 " , -9.9
480 , "5BZQJ0308-7812 " , -9.9
481 , "5BZBJ0309-3604 " , -9.9
482 , "5BZQJ0309+1029 " , 1.103
483 , "5BZQJ0309-0559 " , -9.9
484 , "5BZBJ0309-0744 " , -9.9
485 , "5BZQJ0309-6058 " , 1.312
486 , "5BZBJ0310+4056 " , 1.904
487 , "5BZQJ0310+3814 " , 1.204
488 , "5BZBJ0311-7701 " , 1.912
489 , "5BZQJ0311-7651 " , 1.475
490 , "5BZQJ0312-5541 " , 1.382
491 , "5BZQJ0312+0133 " , -9.9
492 , "5BZGJ0312+3615 " , 1.845
493 , "5BZUJ0313+4120 " , 1.332
