bname,other_name,ra,dec,z,rmag,btype,flux_1400MHz,flux_143GHz,flux_xray,flux_fermi,aro,aox,arx,catalog
5BZBJ1323+1405,1RXSJ132358.9+14,13 23 58.37,+14 05 59.49,0.0,18.7,bllac,31.0,0,1.02,0.0,0.483,1.068,0.681,bzcat
5BZGJ1324+5739,1RXSJ132400.2+57,13 24 00.9,+57 39 16.41,0.115,15.8,bllac_gal,43.0,0,1.47,0.0,0.262,1.512,0.691,bzcat
5BZQJ1324-3623,1WGAJ1324.0-3623,13 24 03.56,-36 23 35.59,0.739,17.1,fsrq,255.0,0,0.58,0.0,0.54,1.374,0.833,bzcat
5BZBJ1324+4048,S4 1321+41,13 24 12.07,+40 48 11.8,0.496,19.7,bllac,349.0,0,0.0,0.0,0.861,-9.9,-9.9,bzcat
5BZQJ1324-1049,PKSB1321-105,13 24 25.79,-10 49 23.08,0.872,21.5,fsrq,204.0,0,0.67,0.0,0.958,0.634,0.906,bzcat
5BZQJ1324+4743,GB6J1324+4743,13 24 29.34,+47 43 20.6,2.26,20.8,fsrq,208.0,0,0.0,0.0,0.839,-9.9,-9.9,bzcat
5BZQJ1325-0804,CGRaBSJ1325-0804,13 25 09.61,-08 04 48.39,2.354,17.8,fsrq,140.0,0,0.3,0.0,0.562,1.31,0.86,bzcat
5BZQJ1325+1123,GB6B1322+1139,13 25 12.49,+11 23 29.61,4.418,19.4,fsrq,82.0,0,0.0,0.0,0.589,-9.9,-9.9,bzcat
5BZUJ1325-4301,CENTAURUS-A,13 25 27.61,-43 01 08.79,0.0020,7.2,uncertain,5700.0,17923,5.43,3.0E-9,0.186,2.675,1.031,bzcat
5BZBJ1325+6621,BZBJ1325+6621,13 25 31.79,+66 21 03.09,0.21,18.4,bllac,5.0,0,0.24,0.0,0.384,1.174,0.66,bzcat
5BZBJ1325-3001,1ES1322-297,13 25 32.86,-30 01 43.1,0.0,20.0,uncertain,3.0,0,3.68,0.0,0.344,0.736,0.477,bzcat
5BZBJ1325-0228,1RXSJ132542.1-02,13 25 41.9,-02 28 09.91,0.0,19.9,bllac,9.0,0,1.45,0.0,0.559,0.654,0.591,bzcat
5BZBJ1325+4115,GB6J1326+4115,13 25 58.95,+41 15 00.5,0.31,18.7,bllac,146.0,0,0.17,0.0,0.666,1.182,0.847,bzcat
5BZBJ1326+2933,RXJ13262+2933,13 26 14.99,+29 33 30.99,0.431,18.2,bllac,16.0,0,2.43,0.0,0.371,0.99,0.595,bzcat
5BZGJ1326+1229,1RXSJ132617.7+12,13 26 17.7,+12 29 58.81,0.204,17.4,bllac_gal,57.0,0,3.43,0.0,0.392,1.122,0.647,bzcat
5BZBJ1326-5256,2FGLJ1326.7-5254,13 26 49.21,-52 56 23.6,0.0,15.8,bllac,0.0,678,0.26,3.9E-9,0.44,1.979,0.962,bzcat
5BZQJ1326-0500,PKS1324-047,13 26 54.6,-05 00 59.0,1.882,19.6,fsrq,118.0,0,0.0,0.0,0.687,-9.9,-9.9,bzcat
5BZQJ1327+5008,1RXSJ132726.1+50,13 27 25.12,+50 08 49.19,1.026,19.3,fsrq,293.0,0,0.18,0.0,0.745,1.196,0.916,bzcat
5BZQJ1327-1336,CGRaBSJ1327-1336,13 27 42.09,-13 36 00.61,1.33,17.9,fsrq,61.0,0,0.0,0.0,0.496,-9.9,-9.9,bzcat
5BZBJ1327+2527,SDSSJ132758.95+2,13 27 58.95,+25 27 46.4,0.0,19.4,bllac,10.0,0,0.0,0.0,0.491,-9.9,-9.9,bzcat
5BZBJ1327+6458,SDSSJ132759.77+6,13 27 59.77,+64 58 11.38,0.447,19.0,bllac,39.0,0,0.0,0.0,0.54,-9.9,-9.9,bzcat
5BZBJ1328+1129,1WGAJ1328.0+1128,13 28 02.09,+11 29 13.59,0.0,18.5,bllac,4.0,0,0.27,0.0,0.285,1.333,0.641,bzcat
5BZUJ1329-5608,2FGLJ1329.2-5608,13 29 01.14,-56 08 02.61,0.0,0.0,uncertain,0.0,930,0.63,3.7E-9,-9.9,-9.9,0.894,bzcat
5BZGJ1329-2640,DRCG28-149,13 29 20.8,-26 40 21.21,0.05,14.7,bllac_gal,102.0,0,0.0,0.0,0.254,-9.9,-9.9,bzcat
5BZBJ1329+3154,GB6J1329+3154,13 29 52.85,+31 54 11.08,0.0,20.0,uncertain,829.0,731,0.0,0.0,0.814,-9.9,-9.9,bzcat
5BZQJ1330+5414,ROXAJ133005.3+54,13 30 05.4,+54 14 51.5,0.839,18.4,fsrq,63.0,0,0.14,0.0,0.531,1.387,0.831,bzcat
5BZQJ1330-3122,PKS 1327-311,13 30 19.08,-31 22 59.08,1.335,18.4,fsrq,461.0,0,0.21,0.0,0.706,1.316,0.938,bzcat
5BZBJ1330+4441,BZBJ1330+4441,13 30 21.53,+44 41 20.29,0.0,18.5,bllac,21.0,0,0.75,0.0,0.427,1.163,0.677,bzcat
5BZBJ1330+7001,1RXSJ133027.8+70,13 30 25.8,+70 01 38.71,0.0,17.3,bllac,21.0,0,0.78,5.0E-10,0.314,1.378,0.674,bzcat
5BZBJ1330+2415,1WGAJ1330.4+2415,13 30 26.51,+24 15 21.49,0.463,19.2,bllac,49.0,0,0.27,0.0,0.598,1.097,0.782,bzcat
5BZBJ1330+5655,SDSSJ133040.69+5,13 30 40.68,+56 55 20.2,0.0,19.1,bllac,16.0,0,0.77,0.0,0.479,1.013,0.66,bzcat
5BZUJ1330+5202,GB6B1328+5217,13 30 42.6,+52 02 15.5,0.688,19.9,uncertain,83.0,0,0.0,0.0,0.661,-9.9,-9.9,bzcat
5BZGJ1331+5655,1RXSJ133104.3+56,13 31 02.91,+56 55 41.8,0.27,18.4,bllac_gal,3.0,0,0.47,0.0,0.218,1.297,0.593,bzcat
5BZBJ1331-0022,1RXSJ133106.0-00,13 31 05.7,-00 22 21.1,0.243,18.3,bllac,9.0,0,0.3,0.0,0.434,1.151,0.687,bzcat
5BZQJ1331-2639,PKS 1328-264,13 31 11.69,-26 39 09.61,0.883,16.8,fsrq,179.0,0,0.36,0.0,0.504,1.496,0.864,bzcat
5BZQJ1331-0341,PKS 1328-034,13 31 29.15,-03 41 14.1,1.352,18.7,fsrq,199.0,0,0.0,0.0,0.673,-9.9,-9.9,bzcat
5BZBJ1331+1712,3EGJ13315+1712,13 31 33.45,+17 12 50.61,0.0,19.7,bllac,180.0,0,0.22,0.0,0.781,0.999,0.855,bzcat
