id , Source name , Other name , RA (J2000.0) , Dec (J2000.0) , LII , BII , Redshift , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Comment on redshift , Comment on rmag , Commenton radio flux , Fermi flux1-100 GeV(ph/cm2/s) , aro-aox-arx
72 , "5BZQJ0024-0412 " , "PKSB0022-044 " , "00 24 45.95" , "-04 12 01.69" , "106.25" , "-66.21" , 1.946 , 20.5 , 7211 , 260 , 0 , 0 , ". " , " " , " " , 0 , 0.834
73 , "5BZQJ0025-2227 " , "CRATESJ002523-22" , "00 25 24.24" , "-22 27 47.59" , "69.83" , "-82.48" , 0.834 , 18.7 , 7211 , 202 , 0 , 0 , ". " , " " , " " , 0 , 0.672
74 , "5BZBJ0026-4601 " , "1RXSJ002636.3-46" , "00 26 35.62" , "-46 01 09.69" , "315.92" , "-70.48" , 0 , 17.5 , 7390 , 38 , 0 , 8.01 , ". " , " " , " " , 0 , 0.411
75 , "5BZQJ0026-1112 " , "SDSSJ00268-1112 " , "00 26 51.42" , "-11 12 52.48" , "101.79" , "-73.07" , 1.118 , 19.1 , 7211 , 169 , 0 , 0 , ". " , " " , " " , 0 , 0.679
76 , "5BZQJ0027+2241 " , "NAB 0024+22 " , "00 27 15.36" , "+22 41 58.3" , "115.66" , "-39.83" , 1.119 , 16.4 , 7211 , 301 , 0 , 0.5 , ". " , " " , " " , 0 , 0.516
77 , "5BZGJ0027+2607 " , "1WGAJ0027.4+2607" , "00 27 26.99" , "+26 07 06.7" , "116.23" , "-36.44" , 0.36 , 18.3 , 7309 , 56 , 0 , 0.85 , ". " , " " , " " , 0 , 0.466
78 , "5BZBJ0028+2408 " , "BZBJ0028+2408 " , "00 28 34.2" , "+24 08 08.41" , "116.26" , "-38.44" , 0.373 , 18.8 , 7390 , 70 , 0 , 0 , ". " , " " , " " , 0 , 0.551
79 , "5BZUJ0028+0035 " , "GB6B0026+0019 " , "00 28 39.84" , "+00 35 41.31" , "110.83" , "-61.74" , 0.687 , 19.6 , 7900 , 89 , 0 , 0 , ". " , " " , " " , 0 , 0.582
80 , "5BZBJ0028-7045 " , "CRATESJ002841-70" , "00 28 41.53" , "-70 45 15.8" , "305.63" , "-46.26" , 0 , 16.7 , 7300 , 94 , 0 , 0 , ". " , " " , " " , 7e-10 , 0.525
81 , "5BZQJ0029+0509 " , "1WGAJ0029.0+0509" , "00 29 03.58" , "+05 09 34.81" , "112.58" , "-57.27" , 1.633 , 18.5 , 7211 , 440 , 0 , 0.07 , ". " , " " , " " , 0 , 0.711
82 , "5BZQJ0029+0554 " , "PKS0027+056 " , "00 29 45.89" , "+05 54 40.89" , "113.12" , "-56.55" , 1.314 , 18.9 , 7211 , 294 , 0 , 0.32 , ". " , " " , " " , 0 , 0.712
83 , "5BZBJ0030-0000 " , "-- " , "00 30 07.87" , "-00 00 07.19" , "111.37" , "-62.4" , 0 , 19.5 , 7300 , 51 , 0 , 0 , ". " , " " , " " , 0 , 0.738
