id , Source name , Other name , RA (J2000.0) , Dec (J2000.0) , LII , BII , Redshift , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Comment on redshift , Comment on rmag , Commenton radio flux , Fermi flux1-100 GeV(ph/cm2/s) , aro-aox-arx
3106 , "5BZBJ2038-2636 " , "SHBLJ203845.1-26" , "20 38 44.98" , "-26 36 31.71" , "17.87" , "-34.29" , 0.437 , 19.5 , 7300 , 6 , 0 , 1.95 , ". " , " " , " " , 0 , 0.441
3107 , "5BZBJ2039-1046 " , "BZBJ2039-1046 " , "20 39 00.71" , "-10 46 41.8" , "35.29" , "-28.74" , 0 , 19 , 7300 , 193 , 0 , 0.53 , ". " , " " , " " , 2.2e-9 , 0.689
3108 , "5BZBJ2039+5219 " , "1ES2037+521 " , "20 39 23.5" , "+52 19 49.9" , "89.69" , "6.55" , 0.053 , 16.2 , 7390 , 41 , 0 , 1.04 , ". " , " " , " " , 4e-10 , 0.058
3109 , "5BZQJ2039-7206 " , "CRATESJ203956-72" , "20 39 58.07" , "-72 06 56.3" , "322.17" , "-33.97" , 1 , 16.6 , 7211 , 105 , 0 , 0 , ". " , " " , " " , 0 , 0.443
3110 , "5BZQJ2040-2507 " , "PKS 2037-253 " , "20 40 08.76" , "-25 07 46.7" , "19.7" , "-34.18" , 1.574 , 19.4 , 7211 , 613 , 0 , 0.09 , ". " , " " , " " , 0 , 0.806
3111 , "5BZGJ2042+2426 " , "1RXSJ204206.3+24" , "20 42 06.05" , "+24 26 52.29" , "67.76" , "-10.81" , 0.104 , 13.3 , 7309 , 70 , 0 , 7.53 , ". " , " " , " " , 0 , 0.043
3112 , "5BZQJ2042-2255 " , "CGRaBSJ2042-2255" , "20 42 54.24" , "-22 55 59.91" , "22.45" , "-34.12" , 2.12 , 20.3 , 7211 , 236 , 0 , 0.18 , ". " , " " , " " , 0 , 0.802
3113 , "5BZQJ2042-2223 " , "CRATESJ204257-22" , "20 42 57.28" , "-22 23 26.91" , "23.08" , "-33.96" , 3.63 , 19.2 , 7211 , 134 , 0 , 0 , ". " , " " , " " , 0 , 0.634
3114 , "5BZQJ2043+1255 " , "GB6J2043+1255 " , "20 43 10.2" , "+12 55 13.58" , "58.24" , "-17.73" , 3.277 , 20.2 , 7211 , 221 , 0 , 0 , ". " , " " , " " , 0 , 0.732
3115 , "5BZQJ2047-1639 " , "PKS 2044-168 " , "20 47 19.67" , "-16 39 05.79" , "29.96" , "-32.94" , 1.932 , 17 , 7211 , 745 , 0 , 0 , ". " , " " , " " , 0 , 0.633
3116 , "5BZBJ2047-2908 " , "BZBJ2047-2908 " , "20 47 35.9" , "-29 08 58.99" , "15.47" , "-36.83" , 0.333 , 18.6 , 7300 , 11 , 0 , 1.64 , ". " , " " , " " , 0 , 0.413
3117 , "5BZGJ2049-0039 " , "SDSSJ20493-0039 " , "20 49 21.73" , "-00 39 26.6" , "46.75" , "-26.31" , 0.257 , 20.2 , 7309 , 5 , 0 , 2 , ". " , " " , " " , 0 , 0.387
3118 , "5BZBJ2050+0407 " , "PKS 2047+039 " , "20 50 06.23" , "+04 07 48.9" , "51.38" , "-23.99" , 0 , 18.5 , 7300 , 566 , 195 , 0.28 , ". " , " " , " " , 8e-10 , 0.692
3119 , "5BZQJ2050-2628 " , "CGRaBSJ2050-2628" , "20 50 24.69" , "-26 28 18.58" , "18.9" , "-36.77" , 1.633 , 20 , 7211 , 316 , 242 , 0 , ". " , " " , " " , 0 , 0.795
3120 , "5BZQJ2050+3127 " , "CL4 " , "20 50 51.12" , "+31 27 27.39" , "74.58" , "-8.05" , 3.18 , 17.8 , 7211 , 770 , 0 , 0 , ". " , " " , " " , 1.7e-9 , 0.623
3121 , "5BZBJ2051+7441 " , "S5 2051+745 " , "20 51 33.72" , "+74 41 40.48" , "108.96" , "18.8" , 0 , 19.2 , 7390 , 359 , 0 , 0 , ". " , " " , " " , 0 , 0.659
3122 , "5BZUJ2051+1743 " , "PKS 2049+175 " , "20 51 35.58" , "+17 43 36.91" , "63.57" , "-16.59" , 0.195 , 15.7 , 7900 , 454 , 445 , 0 , ". " , " " , " " , 0 , 0.439
3123 , "5BZQJ2052-6523 " , "PKS 2047-655 " , "20 52 06.71" , "-65 23 11.5" , "329.7" , "-36.94" , 1.15 , 16.5 , 7211 , 554 , 0 , 1.14 , ". " , " " , " " , 0 , 0.564
3124 , "5BZBJ2052+0810 " , "1RXSJ205242.6+08" , "20 52 43.03" , "+08 10 37.48" , "55.46" , "-22.33" , 0 , 20.3 , 7300 , 6 , 0 , 2.02 , ". " , " " , " " , 0 , 0.499
3125 , "5BZGJ2054+0015 " , "SDSSJ20549+0015 " , "20 54 56.84" , "+00 15 37.8" , "48.43" , "-27.05" , 0.151 , 17.1 , 7309 , 57 , 0 , 1.42 , ". " , " " , " " , 0 , 0.38
3126 , "5BZGJ2055-0506 " , "SDSSJ20553-0506 " , "20 55 23.38" , "-05 06 19.29" , "43.19" , "-29.8" , 0.342 , 18.4 , 7309 , 20 , 0 , 0 , ". " , " " , " " , 0 , 0.369
3127 , "5BZBJ2055-0021 " , "2FGLJ2055.4-0023" , "20 55 28.21" , "-00 21 17.2" , "47.91" , "-27.48" , 0 , 17.9 , 7300 , 41 , 0 , 4.95 , ". " , " " , " " , 4e-10 , 0.404
3128 , "5BZQJ2056-4714 " , "PKS2052-47 " , "20 56 16.36" , "-47 14 47.61" , "352.59" , "-40.39" , 1.491 , 18.3 , 7211 , 2138 , 1502 , 0.59 , ". " , " " , " " , 8.6e-9 , 0.826
3129 , "5BZBJ2056-3208 " , "PKS2053-323 " , "20 56 25.07" , "-32 08 47.79" , "12.24" , "-39.31" , 0 , 19.8 , 7300 , 67 , 440 , 0 , ". " , " " , " " , 0 , 0.732
3130 , "5BZQJ2056-3857 " , "PKS2053-391 " , "20 56 54.9" , "-38 57 16.59" , "3.47" , "-40.32" , 1.937 , 19.3 , 7211 , 266 , 0 , 0.1 , ". " , " " , " " , 0 , 0.726
3131 , "5BZQJ2057-3734 " , "PKS2054-377 " , "20 57 41.59" , "-37 34 03.0" , "5.3" , "-40.34" , 1.071 , 18.8 , 7211 , 266 , 494 , 0 , ". " , " " , " " , 0 , 0.712
3132 , "5BZGJ2059-0037 " , "SDSSJ20596-0037 " , "20 59 38.58" , "-00 37 55.99" , "48.25" , "-28.51" , 0.335 , 18.8 , 7309 , 15 , 0 , 0.69 , ". " , " " , " " , 0 , 0.35
3133 , "5BZQJ2101-2933 " , "PKS 2058-297 " , "21 01 01.66" , "-29 33 27.79" , "15.79" , "-39.78" , 1.492 , 18.6 , 7211 , 668 , 505 , 0 , ". " , " " , " " , 0 , 0.743
3134 , "5BZQJ2101+0341 " , "PKS 2059+034 " , "21 01 38.82" , "+03 41 31.3" , "52.69" , "-26.65" , 1.012 , 17.7 , 7211 , 627 , 572 , 0.37 , ". " , " " , " " , 0 , 0.696
3135 , "5BZQJ2102+6015 " , "GB6B2101+6003 " , "21 02 40.21" , "+60 15 09.79" , "97.95" , "9.01" , 4.575 , 0 , 7211 , 319 , 0 , 0 , " ? " , " " , " " , 0 , -9.9
3136 , "5BZGJ2103-6812 " , "PGC287609 " , "21 03 36.18" , "-68 12 02.8" , "325.91" , "-37.13" , 0.041 , 10.2 , 7309 , 68 , 0 , 0 , ". " , " " , " " , 0 , -0.1
3137 , "5BZUJ2105-4848 " , "1RXSJ210500.4-48" , "21 05 01.15" , "-48 48 46.51" , "350.39" , "-41.75" , 1.041 , 16.9 , 7900 , 1100 , 208 , 0.64 , ". " , " " , " " , 0 , 0.579
3138 , "5BZQJ2106+2135 " , "GC2103+21 " , "21 06 10.81" , "+21 35 35.98" , "68.95" , "-16.93" , 0.647 , 20.7 , 7211 , 184 , 0 , 0 , ". " , " " , " " , 0 , 0.758
3139 , "5BZQJ2106+0231 " , "CRATESJ210627+02" , "21 06 28.14" , "+02 31 37.81" , "52.32" , "-28.3" , 2.942 , 18.9 , 7211 , 84 , 0 , 0 , ". " , " " , " " , 0 , 0.573
3140 , "5BZQJ2108-2911 " , "CGRaBSJ2108-2911" , "21 08 07.39" , "-29 11 17.19" , "16.69" , "-41.21" , 1.566 , 20.8 , 7211 , 116 , 0 , 0 , ". " , " " , " " , 0 , 0.784
3141 , "5BZQJ2108+1430 " , "GC2106+14 " , "21 08 41.03" , "+14 30 27.0" , "63.47" , "-21.81" , 2.017 , 19.9 , 7211 , 404 , 0 , 0 , ". " , " " , " " , 0 , 0.801
3142 , "5BZBJ2108-0250 " , "1FGL_J2108.5-024" , "21 08 44.72" , "-02 50 34.18" , "47.39" , "-31.6" , 0.149 , 16.2 , 7300 , 127 , 0 , 1.38 , ". " , " " , " " , 4e-10 , 0.432
3143 , "5BZBJ2108-6637 " , "1RXSJ210855.2-66" , "21 08 51.82" , "-66 37 22.69" , "327.55" , "-38.17" , 0 , 17 , 7300 , 327 , 0 , 1.62 , ". " , " " , " " , 6e-10 , 0.494
3144 , "5BZQJ2109-4110 " , "PKS2106-413 " , "21 09 33.18" , "-41 10 20.6" , "0.67" , "-42.84" , 1.058 , 19.9 , 7211 , 1823 , 410 , 0.55 , ". " , " " , " " , 0 , 0.953
3145 , "5BZQJ2109-1332 " , "1WGAJ2109.7-1332" , "21 09 49.9" , "-13 32 45.99" , "36.02" , "-36.74" , 1.226 , 17.2 , 7211 , 62 , 0 , 0.16 , ". " , " " , " " , 0 , 0.432
3146 , "5BZQJ2110-1020 " , "PKS 2107-105 " , "21 10 00.97" , "-10 20 57.29" , "39.63" , "-35.43" , 2.5 , 18.8 , 7211 , 1194 , 0 , 0 , ". " , " " , " " , 0 , 0.811
3147 , "5BZQJ2110+0809 " , "GB6B2107+0757 " , "21 10 09.67" , "+08 09 55.4" , "58.14" , "-25.89" , 1.58 , 19.4 , 7211 , 77 , 0 , 0 , ". " , " " , " " , 1e-9 , 0.63
3148 , "5BZQJ2110-0126 " , "CRATESJ211022-01" , "21 10 22.62" , "-01 26 58.19" , "49.03" , "-31.23" , 0.904 , 18.9 , 7211 , 132 , 0 , 0.17 , ". " , " " , " " , 0 , 0.625
3149 , "5BZQJ2114-6851 " , "PKS 2109-69 " , "21 14 13.4" , "-68 51 02.3" , "324.69" , "-37.79" , 2.91 , 19.5 , 7211 , 524 , 0 , 0 , ". " , " " , " " , 0 , 0.799
3150 , "5BZQJ2114+2832 " , "KPD2.40 " , "21 14 58.32" , "+28 32 57.19" , "75.77" , "-13.91" , 2.345 , 18.9 , 7211 , 397 , 180 , 0 , ". " , " " , " " , 0 , 0.691
3151 , "5BZUJ2115-1416 " , "TEX 2112-144 " , "21 15 18.43" , "-14 16 43.39" , "35.85" , "-38.25" , 1.7 , 18.3 , 7900 , 313 , 0 , 0 , " ? " , " " , " " , 0 , 0.586
3152 , "5BZQJ2115+2933 " , "1Jy2113+293 " , "21 15 29.4" , "+29 33 38.41" , "76.62" , "-13.31" , 1.514 , 18.9 , 7211 , 756 , 217 , 0.15 , ". " , " " , " " , 1.3e-9 , 0.745
3153 , "5BZBJ2116-0108 " , "SDSSJ21160-0108 " , "21 16 03.23" , "-01 08 28.39" , "50.21" , "-32.28" , 0.305 , 17.9 , 7300 , 69 , 0 , 0 , ". " , " " , " " , 0 , 0.508
3154 , "5BZGJ2116-0628 " , "SDSSJ21161-0628 " , "21 16 11.88" , "-06 28 30.39" , "44.7" , "-35" , 0.292 , 18.5 , 7309 , 21 , 0 , 0.7 , ". " , " " , " " , 0 , 0.374
3155 , "5BZBJ2116+3339 " , "GC2114+33 " , "21 16 14.51" , "+33 39 20.41" , "79.81" , "-10.66" , 0 , 15.4 , 7300 , 116 , 0 , 0.25 , ". " , " " , " " , 2.8e-9 , 0.276
3156 , "5BZQJ2116-5527 " , "PKSB2112-556 " , "21 16 29.82" , "-55 27 20.41" , "341.17" , "-42.39" , 1.722 , 19.1 , 7211 , 50 , 0 , 0 , ". " , " " , " " , 0 , 0.612
3157 , "5BZQJ2117+0502 " , "CRATESJ211721+05" , "21 17 20.72" , "+05 02 57.58" , "56.43" , "-29.14" , 1.794 , 17.2 , 7211 , 324 , 0 , 0 , ". " , " " , " " , 0 , 0.573
3158 , "5BZQJ2118+0013 " , "CRATESJ211817+00" , "21 18 17.39" , "+00 13 16.71" , "51.93" , "-32.03" , 0.463 , 18.4 , 7211 , 149 , 185 , 0.2 , ". " , " " , " " , 9e-10 , 0.581
3159 , "5BZQJ2118-0636 " , "1RXSJ211843.5-06" , "21 18 43.24" , "-06 36 18.0" , "44.93" , "-35.62" , 0.328 , 17.6 , 7211 , 89 , 0 , 1.4 , ". " , " " , " " , 0 , 0.53
3160 , "5BZQJ2119-1106 " , "PKS2116-113 " , "21 19 39.89" , "-11 06 14.11" , "40.08" , "-37.89" , 1.844 , 20.8 , 7211 , 271 , 0 , 0 , ". " , " " , " " , 0 , 0.845
3161 , "5BZQJ2121+1901 " , "GC2118+18 " , "21 21 00.6" , "+19 01 28.3" , "69.24" , "-21.25" , 2.18 , 20.4 , 7211 , 698 , 0 , 0.09 , ". " , " " , " " , 2.3e-9 , 0.878
3162 , "5BZQJ2121-6111 " , "CRATESJ212104-61" , "21 21 04.07" , "-61 11 24.61" , "333.56" , "-41.31" , 1.017 , 17.8 , 7211 , 973 , 0 , 0 , ". " , " " , " " , 0 , 0.708
3163 , "5BZBJ2123-1036 " , "BZBJ2123-1036 " , "21 23 07.26" , "-10 36 48.6" , "41.11" , "-38.44" , 0 , 15.7 , 7300 , 119 , 0 , 6.36 , ". " , " " , " " , 0 , 0.372
3164 , "5BZQJ2123+0535 " , "PKS2121+053 " , "21 23 44.51" , "+05 35 22.09" , "58" , "-30.13" , 1.941 , 17.4 , 7211 , 794 , 460 , 0.35 , ". " , " " , " " , 0 , 0.68
3165 , "5BZQJ2123-3046 " , "CGRaBSJ2123-3046" , "21 23 48.6" , "-30 46 05.41" , "15.4" , "-44.84" , 1.879 , 17.9 , 7211 , 148 , 0 , 0 , ". " , " " , " " , 0 , 0.568
3166 , "5BZQJ2124-6028 " , "-- " , "21 24 02.98" , "-60 28 09.01" , "334.31" , "-41.9" , 1.098 , 16.9 , 7211 , 34 , 0 , 0 , ". " , " " , " " , 0 , 0.4
3167 , "5BZQJ2125+0441 " , "GB6J2125+0441 " , "21 25 29.26" , "+04 41 35.48" , "57.45" , "-31" , 1.394 , 20.6 , 7211 , 268 , 0 , 0 , ". " , " " , " " , 0 , 0.823
3168 , "5BZQJ2126-4605 " , "PKS 2123-463 " , "21 26 30.7" , "-46 05 47.9" , "353.58" , "-45.65" , 1.67 , 17.6 , 7211 , 1520 , 442 , 0.62 , " ? " , " " , " " , 1e-9 , 0.734
3169 , "5BZQJ2126-0119 " , "PKS2123-015 " , "21 26 32.76" , "-01 19 32.41" , "51.7" , "-34.6" , 2.191 , 19.8 , 7211 , 336 , 0 , 0 , ". " , " " , " " , 0 , 0.786
3170 , "5BZBJ2127+3613 " , "1RXSJ212741.4+36" , "21 27 43.02" , "+36 13 05.69" , "83.35" , "-10.56" , 0 , 16.9 , 7300 , 192 , 0 , 0.38 , ". " , " " , " " , 1.1e-9 , 0.394
3171 , "5BZQJ2128-0244 " , "CGRaBSJ2128-0244" , "21 28 22.21" , "-02 44 32.78" , "50.53" , "-35.74" , 1.822 , 20.1 , 7211 , 90 , 0 , 0 , ". " , " " , " " , 0 , 0.706
3172 , "5BZQJ2129-1538 " , "1Jy2126-158 " , "21 29 12.17" , "-15 38 40.99" , "35.93" , "-41.87" , 3.268 , 16.5 , 7211 , 590 , 0 , 1.54 , ". " , " " , " " , 0 , 0.552
3173 , "5BZUJ2129+0035 " , "FIRSTJ21296+0035" , "21 29 40.68" , "+00 35 27.88" , "54.16" , "-34.2" , 0.426 , 19.4 , 7900 , 9 , 0 , 0.48 , ". " , " " , " " , 0 , 0.379
3174 , "5BZUJ2130-0927 " , "PKS 2127-096 " , "21 30 19.08" , "-09 27 37.4" , "43.47" , "-39.5" , 0 , 0 , 7900 , 316 , 371 , 0.53 , ". " , " " , " " , 8e-10 , -9.9
3175 , "5BZQJ2130-4515 " , "Q 2127-4528 " , "21 30 52.39" , "-45 15 43.3" , "354.64" , "-46.51" , 2.713 , 18.9 , 7211 , 75 , 0 , 0 , ". " , " " , " " , 0 , 0.581
3176 , "5BZBJ2131-2746 " , "RXSJ21310-2747 " , "21 31 03.29" , "-27 46 58.0" , "19.98" , "-45.87" , 0 , 17.4 , 7300 , 37 , 0 , 2.49 , ". " , " " , " " , 0 , 0.365
3177 , "5BZQJ2131-1207 " , "PKS2128-12 " , "21 31 35.26" , "-12 07 04.8" , "40.53" , "-40.96" , 0.499 , 15.3 , 7211 , 1770 , 574 , 2.82 , ". " , " " , " " , 0 , 0.602
3178 , "5BZBJ2131-0915 " , "1FGL_J2131.7-091" , "21 31 35.39" , "-09 15 23.0" , "43.89" , "-39.68" , 0.449 , 17.5 , 7300 , 42 , 0 , 7.3 , ". " , " " , " " , 8e-10 , 0.391
3179 , "5BZBJ2131-2515 " , "RXSJ21318-2516 " , "21 31 51.29" , "-25 15 57.99" , "23.55" , "-45.49" , 0 , 18.5 , 7300 , 11 , 0 , 2.8 , ". " , " " , " " , 0 , 0.367
3180 , "5BZQJ2132-4537 " , "CRATESJ213229-45" , "21 32 28.31" , "-45 37 38.2" , "354.06" , "-46.74" , 1.332 , 18.8 , 7211 , 112 , 0 , 0 , ". " , " " , " " , 0 , 0.61
3181 , "5BZGJ2133+2528 " , "1FGL_J2133.4+253" , "21 33 14.35" , "+25 28 59.08" , "76.34" , "-18.97" , 0.294 , 18 , 7309 , 40 , 0 , 0 , ". " , " " , " " , 6e-10 , 0.36
3182 , "5BZQJ2133+8239 " , "S52136+824 " , "21 33 34.07" , "+82 39 06.08" , "116.9" , "22.22" , 2.35 , 19.5 , 7211 , 915 , 0 , 0 , ". " , " " , " " , 0 , 0.831
3183 , "5BZBJ2134-0153 " , "4C-02.81 " , "21 34 10.31" , "-01 53 17.19" , "52.39" , "-36.51" , 1.283 , 17.6 , 7300 , 1691 , 1311 , 0.32 , ". " , " " , " " , 1e-9 , 0.669
3184 , "5BZQJ2135-5006 " , "1FGL_J2135.8-495" , "21 35 20.14" , "-50 06 52.09" , "347.52" , "-46.4" , 2.181 , 0 , 7211 , 343 , 0 , 0.17 , ". " , " " , " " , 9e-10 , -9.9
3185 , "5BZQJ2135-0803 " , "SDSSJ21358-0803 " , "21 35 51.94" , "-08 03 10.4" , "45.92" , "-40.04" , 1.396 , 18.8 , 7211 , 66 , 0 , 0 , ". " , " " , " " , 0 , 0.563
3186 , "5BZBJ2136-4443 " , "MH 2133-449 " , "21 36 18.38" , "-44 43 48.89" , "355.24" , "-47.53" , 0 , 19 , 7300 , 8 , 0 , 1.24 , ". " , " " , " " , 0 , 0.399
3187 , "5BZQJ2136+0041 " , "PKS2134+004 " , "21 36 38.58" , "+00 41 54.2" , "55.47" , "-35.58" , 1.941 , 16.8 , 7211 , 3473 , 988 , 0.98 , ". " , " " , " " , 0 , 0.765
3188 , "5BZQJ2138-2439 " , "PKS 2135-248 " , "21 38 37.18" , "-24 39 54.5" , "24.93" , "-46.83" , 0.819 , 19.1 , 7211 , 441 , 204 , 0.18 , " ? " , " " , " " , 0 , 0.755
3189 , "5BZBJ2138-2053 " , "RXSJ21388-2053 " , "21 38 52.77" , "-20 53 46.49" , "30.2" , "-45.85" , 0.29 , 17.4 , 7300 , 10 , 0 , 6.16 , ". " , " " , " " , 3e-10 , 0.275
3190 , "5BZQJ2139+1423 " , "PKS2136+141 " , "21 39 01.31" , "+14 23 35.98" , "68.53" , "-27.54" , 2.427 , 18.2 , 7211 , 1132 , 394 , 0.46 , ". " , " " , " " , 0 , 0.75
3191 , "5BZBJ2139-4235 " , "MH 2136-428 " , "21 39 24.16" , "-42 35 20.39" , "358.31" , "-48.33" , 0 , 15.7 , 7300 , 78 , 0 , 0.73 , ". " , " " , " " , 5.6e-9 , 0.342
3192 , "5BZQJ2139+0122 " , "FIRSTJ21397+0122" , "21 39 42.5" , "+01 22 27.19" , "56.69" , "-35.82" , 1.401 , 19.4 , 7211 , 166 , 0 , 0 , ". " , " " , " " , 0 , 0.697
3193 , "5BZGJ2140-2339 " , "1WGAJ2140.2-2339" , "21 40 15.16" , "-23 39 39.99" , "26.49" , "-46.94" , 0.313 , 16.7 , 7309 , 4 , 0 , 1.93 , ". " , " " , " " , 0 , 0.104
3194 , "5BZQJ2141-3729 " , "PKS 2138-377 " , "21 41 52.44" , "-37 29 12.98" , "6" , "-49.08" , 0.423 , 17.5 , 7211 , 397 , 235 , 0.33 , ". " , " " , " " , 6e-10 , 0.622
3195 , "5BZQJ2142-0437 " , "PKS 2140-048 " , "21 42 36.89" , "-04 37 43.5" , "50.88" , "-39.76" , 0.344 , 16.9 , 7211 , 806 , 0 , 1.58 , ". " , " " , " " , 0 , 0.605
3196 , "5BZBJ2143-3929 " , "2FGLJ2143.2-3929" , "21 43 02.87" , "-39 29 24.68" , "2.92" , "-49.25" , 0.429 , 18 , 7300 , 143 , 0 , 0 , ". " , " " , " " , 7e-10 , 0.52
3197 , "5BZGJ2143-2845 " , "TGS246Z062 " , "21 43 24.24" , "-28 45 57.31" , "19.28" , "-48.72" , 0.172 , 15.4 , 7309 , 61 , 0 , 0.43 , ". " , " " , " " , 0 , 0.242
3198 , "5BZQJ2143+1743 " , "S32141+17 " , "21 43 35.53" , "+17 43 48.79" , "72.11" , "-26.09" , 0.213 , 16 , 7211 , 652 , 412 , 0.67 , ". " , " " , " " , 4.5e-9 , 0.551
3199 , "5BZBJ2144-0028 " , "SDSSJ21441-0028 " , "21 44 06.26" , "-00 28 58.11" , "55.58" , "-37.79" , 0 , 20.7 , 7300 , 39 , 0 , 0 , ". " , " " , " " , 0 , 0.705
3200 , "5BZQJ2145-3357 " , "2FGLJ2144.8-3356" , "21 45 01.13" , "-33 57 16.41" , "11.44" , "-49.63" , 1.361 , 19.6 , 7211 , 94 , 0 , 0.17 , ". " , " " , " " , 2.1e-9 , 0.682
3201 , "5BZQJ2145+1115 " , "MC 2142+110 " , "21 45 18.78" , "+11 15 27.28" , "67" , "-30.77" , 0.548 , 18.1 , 7211 , 387 , 0 , 0.74 , ". " , " " , " " , 0 , 0.662
3202 , "5BZGJ2145-0434 " , "1RXSJ214533.6-04" , "21 45 33.38" , "-04 34 39.1" , "51.44" , "-40.35" , 0.07 , 11.7 , 7309 , 67 , 0 , 1.95 , ". " , " " , " " , 0 , -0.039
3203 , "5BZQJ2145-3142 " , "PKS2142-319 " , "21 45 46.93" , "-31 42 34.19" , "14.92" , "-49.62" , 0.66 , 19.5 , 7211 , 145 , 0 , 0 , ". " , " " , " " , 0 , 0.693
3204 , "5BZBJ2145+0719 " , "MS2143.4+0704 " , "21 45 52.3" , "+07 19 27.19" , "63.57" , "-33.42" , 0.237 , 17.9 , 7300 , 102 , 0 , 4.76 , ". " , " " , " " , 0 , 0.553
3205 , "5BZQJ2146-1525 " , "PKS 2143-156 " , "21 46 22.98" , "-15 25 43.89" , "38.43" , "-45.6" , 0.698 , 17 , 7211 , 733 , 375 , 0.49 , ". " , " " , " " , 4e-10 , 0.615
3206 , "5BZBJ2146-4748 " , "1RXSJ214626.4-47" , "21 46 25.69" , "-47 48 37.58" , "350.23" , "-48.7" , 0 , 19.7 , 7300 , 38 , 0 , 2.93 , ". " , " " , " " , 0 , 0.656
3207 , "5BZQJ2146-7755 " , "PKS2141-781 " , "21 46 30.06" , "-77 55 54.69" , "313.56" , "-35.08" , 0.334 , 19.2 , 7211 , 275 , 388 , 1.09 , ". " , " " , " " , 0 , 0.738
3208 , "5BZBJ2146-1344 " , "1RXSJ214637.3-13" , "21 46 36.95" , "-13 44 00.59" , "40.67" , "-44.96" , 0 , 17.5 , 7300 , 23 , 0 , 1.12 , ". " , " " , " " , 1.2e-9 , 0.332
3209 , "5BZGJ2147-1019 " , "BZBJ2147-1019 " , "21 47 00.44" , "-10 19 11.89" , "45" , "-43.54" , 0.08 , 11.2 , 7309 , 19 , 0 , 2 , ". " , " " , " " , 0 , -0.192
3210 , "5BZQJ2147-7812 " , "PKS2141-784 " , "21 47 05.83" , "-78 12 21.88" , "313.27" , "-34.93" , 0.732 , 18.6 , 7211 , 292 , 0 , 0 , ". " , " " , " " , 0 , 0.679
3211 , "5BZQJ2147+0929 " , "1Jy2144+092 " , "21 47 10.15" , "+09 29 46.71" , "65.79" , "-32.27" , 1.113 , 17.9 , 7211 , 960 , 380 , 0.67 , ". " , " " , " " , 3.5e-9 , 0.735
3212 , "5BZQJ2147-7536 " , "PKS 2142-75 " , "21 47 12.72" , "-75 36 13.21" , "315.8" , "-36.54" , 1.138 , 16.9 , 7211 , 1952 , 2117 , 0.63 , ". " , " " , " " , 3.6e-9 , 0.675
3213 , "5BZQJ2147-0620 " , "CRATESJ214723-06" , "21 47 21.89" , "-06 20 25.29" , "49.77" , "-41.66" , 0.806 , 17.6 , 7211 , 174 , 0 , 1.03 , ". " , " " , " " , 0 , 0.562
3214 , "5BZQJ2147-3601 " , "PKS 2144-362 " , "21 47 31.13" , "-36 01 51.31" , "8.25" , "-50.21" , 2.084 , 18.1 , 7211 , 172 , 0 , 0.22 , ". " , " " , " " , 0 , 0.604
3215 , "5BZGJ2147-1608 " , "1RXSJ214751.7-16" , "21 47 52.69" , "-16 08 42.79" , "37.69" , "-46.21" , 0.104 , 14.9 , 7309 , 5 , 0 , 0.52 , ". " , " " , " " , 0 , -0.017
3216 , "5BZQJ2147-7621 " , "PKS2142-76 " , "21 47 53.15" , "-76 21 29.19" , "315.03" , "-36.11" , 1.884 , 18.2 , 7211 , 763 , 0 , 0 , ". " , " " , " " , 0 , 0.705
3217 , "5BZQJ2148+0657 " , "4C06.69 " , "21 48 05.45" , "+06 57 38.59" , "63.65" , "-34.08" , 0.999 , 15.9 , 7211 , 2590 , 2034 , 1.46 , ". " , " " , " " , 4e-10 , 0.673
3218 , "5BZBJ2148-0733 " , "SDSSJ21481-0733 " , "21 48 07.07" , "-07 33 46.9" , "48.48" , "-42.44" , 0 , 18.4 , 7300 , 8 , 0 , 0 , ". " , " " , " " , 0 , 0.328
3219 , "5BZQJ2148-1723 " , "PKS2145-17 " , "21 48 36.79" , "-17 23 44.01" , "36.1" , "-46.84" , 2.13 , 19.6 , 7211 , 805 , 0 , 0.23 , ". " , " " , " " , 0 , 0.847
3220 , "5BZBJ2149+0322 " , "GB6J2149+0322 " , "21 49 41.87" , "+03 22 51.38" , "60.53" , "-36.63" , 0 , 17.9 , 7300 , 100 , 0 , 0.08 , ". " , " " , " " , 8e-10 , 0.578
3221 , "5BZQJ2150-6802 " , "CGRaBSJ2150-6802" , "21 50 13.38" , "-68 02 50.38" , "323.57" , "-41.07" , 1.265 , 19.3 , 7211 , 129 , 0 , 0 , ". " , " " , " " , 0 , 0.684
3222 , "5BZGJ2150-1410 " , "2FGLJ2150.2-1412" , "21 50 15.49" , "-14 10 50.08" , "40.61" , "-45.95" , 0.229 , 16.4 , 7309 , 68 , 0 , 6.9 , ". " , " " , " " , 5e-10 , 0.351
3223 , "5BZBJ2150+1119 " , "BZBJ2150+1119 " , "21 50 51.71" , "+11 19 16.6" , "68.11" , "-31.74" , 0.495 , 18.9 , 7300 , 10 , 0 , 0 , " ? " , " " , " " , 0 , 0.374
3224 , "5BZQJ2150-2812 " , "CRATESJ215053-28" , "21 50 53.09" , "-28 12 42.69" , "20.53" , "-50.25" , 0.865 , 18.4 , 7211 , 307 , 0 , 0.39 , ". " , " " , " " , 0 , 0.693
